buy income education age
not 62.9 1 58
buy 37.19 5 61
not 64.68 3 31
buy 45.19 1 56
buy 30.87 3 35
not 60.05 5 56
not 50.56 3 32
not 78.49 5 62
not 78.56 3 31
not 33.75 6 54
not 74.08 5 22
not 53.92 1 57
not 78.77 3 28
not 71.76 1 54
buy 38.03 4 54
not 55.86 6 45
buy 50.58 3 23
not 67.6 6 59
not 71.94 2 54
buy 46.16 4 44
not 77.92 3 24
not 67.33 3 30
not 88.69 4 58
buy 43.95 3 30
not 55.93 4 61
not 79.01 1 21
not 55.36 3 66
not 87.55 2 56
buy 42.39 2 33
not 67.64 5 35
buy 58.56 3 27
buy 36.12 3 20
buy 35.19 4 49
buy 36.07 5 65
buy 53.43 2 24
buy 39.13 4 30
buy 36.69 2 33
buy 55.23 4 39
not 50.87 4 50
buy 31.41 1 37
not 65.37 6 19
not 51.92 4 56
not 75.72 2 34
not 59.58 1 54
buy 39.16 2 28
buy 42.05 1 21
buy 38.53 6 34
not 35.5 4 61
not 79.7 6 57
not 79.84 6 56
buy 37.4 4 51
not 42.54 2 61
not 52.9 2 43
not 70.51 2 29
not 70.69 3 34
not 85.89 3 35
not 42.24 4 64
not 82.57 2 19
buy 42.52 3 41
not 51.92 5 65
not 74.96 4 41
buy 49.94 1 20
not 69.82 1 18
buy 35.59 6 58
not 46.19 5 51
not 69.81 2 49
not 64.27 4 68
not 32.35 2 37
not 68.21 5 26
not 88.22 3 62
buy 31.57 2 64
not 49.19 2 47
not 34.27 1 66
not 60.12 5 43
not 71.87 6 34
not 75.54 6 47
not 74.18 4 40
not 60.32 1 61
not 74.82 2 39
not 71.17 5 58
not 77.94 6 31
not 67.16 6 50
buy 40.38 4 57
not 58.16 3 41
not 70.85 6 40
not 85.3 4 34
not 58.44 4 36
buy 45.67 3 21
not 45.28 6 55
buy 30.97 6 27
not 42.87 3 54
not 55.85 3 68
not 89.65 5 20
not 82.8 5 55
not 89.03 4 39
not 57.63 2 31
not 69.04 2 64
buy 35.88 2 46
buy 41.08 3 28
not 72.46 3 60
buy 33.36 4 22
not 48.74 3 42
not 54.45 4 35
not 50.64 5 47
not 76.48 3 24
not 88.03 2 32
not 78.53 2 34
not 77.97 3 64
not 70.87 2 66
not 88.62 5 23
not 56.05 2 27
not 73.51 2 66
not 52.49 5 66
not 80.05 1 52
not 84.82 3 30
not 88.64 1 44
buy 30.99 5 29
not 77.47 4 41
buy 32.27 1 46
buy 31.41 2 39
not 49.74 5 58
not 79.98 5 48
not 86.91 3 68
not 80.22 4 44
buy 30.85 3 32
not 57.62 2 37
not 89.54 2 47
not 37 3 28
buy 43.57 3 41
not 80.81 1 63
not 81.09 5 31
buy 48.53 3 64
not 74.73 4 18
not 61.04 5 66
buy 35.47 5 49
not 73.47 6 20
not 63.33 5 29
buy 48.92 5 35
buy 49.71 1 30
not 65.17 4 64
not 66.73 5 19
not 76.95 5 43
not 67.05 1 20
not 44.11 6 63
not 89.54 4 68
not 60.39 6 62
not 87.6 4 26
buy 49.48 4 36
not 57.59 3 35
not 77.21 2 40
buy 32.18 5 64
not 85.6 3 61
not 88.55 2 25
not 81.95 1 55
not 69.12 3 23
not 58.74 3 39
not 73.58 2 66
not 58.09 2 54
not 51.61 3 61
not 32.89 5 64
not 53.35 1 28
not 73.69 3 68
not 55.1 3 63
not 51.4 4 33
not 78.93 4 21
not 66.31 4 38
buy 41.16 4 42
not 42.75 1 55
not 58.02 4 39
buy 40.36 1 40
not 81.73 1 28
not 35.48 5 55
not 70.28 3 28
not 84.99 3 51
buy 42.28 3 34
not 74.86 4 50
not 81.74 5 35
not 31.5 5 41
not 85.45 3 35
buy 48.74 2 28
not 68.45 5 55
not 62.23 5 33
not 88.47 1 61
buy 35.05 1 21
buy 45.37 3 39
buy 33.84 6 38
not 72.78 3 53
not 41.55 6 66
not 71.41 2 42
not 83.36 6 61
buy 40.81 3 42
buy 37.38 1 36
not 56.38 5 43
not 67.89 1 57
not 83.85 1 63
not 55.44 2 46
not 64.45 6 58
not 79.53 4 24
not 72.26 1 62
not 82.31 4 20
not 48.38 6 50
buy 30.54 1 42
not 77.39 1 38
not 88.69 6 47
not 81.05 1 41
not 89.9 6 62
not 84.05 4 40
buy 49.83 2 18
not 67.08 1 37
not 54.86 6 52
not 73.6 6 42
not 30.11 2 30
not 75.18 4 22
buy 32.19 3 22
not 58.62 4 21
not 80.18 4 30
not 72.94 4 47
buy 34.4 1 67
not 89.12 2 39
not 68.94 4 43
not 75.82 5 66
not 57.41 5 34
not 80.2 5 63
not 53.47 4 21
not 45.82 4 37
not 67.77 3 60
buy 41.74 1 45
not 84.63 4 39
not 80.66 3 26
not 46.88 4 60
not 36.6 2 58
not 51.77 5 43
not 42.44 5 45
not 41.32 2 55
not 77.5 6 21
buy 49.22 6 25
not 81.95 1 42
not 57.12 2 56
buy 42.21 4 25
buy 34.64 4 63
not 61.14 1 30
buy 46.86 2 31
not 58.96 2 30
buy 44.64 4 47
not 76.42 5 53
not 80.86 4 47
not 66.32 6 26
not 60.94 1 61
not 69.54 6 66
not 48.74 1 49
not 67.93 3 21
not 60.82 5 37
not 50.13 3 43
not 48.7 1 39
buy 39.91 3 33
not 63.19 2 55
not 71.03 5 59
not 62.35 1 28
not 85.49 1 53
not 71.86 1 46
not 76.62 4 64
not 48.39 4 65
not 40.34 4 51
not 70.72 3 26
not 41.63 3 66
not 64.61 2 36
not 88.34 3 52
not 64.23 3 35
not 84.7 2 25
buy 32.56 3 39
not 64.81 5 27
not 63.39 2 53
buy 36.97 2 20
buy 48.4 2 18
not 81.99 4 19
buy 47.02 4 36
not 54.12 3 30
not 82.01 5 37
buy 44.58 2 33
not 59.07 3 22
buy 49.67 4 21
not 85.12 5 50
not 81.94 1 26
not 67.08 2 57
not 83.95 3 23
not 63.28 3 56
buy 45.26 3 49
not 80.67 1 40
not 74.49 5 56
not 59.51 1 66
not 62.32 3 22
not 47.71 4 28
not 85.3 2 43
buy 46.79 5 48
not 78.59 4 45
not 80.8 4 38
not 46.99 4 36
not 51.45 4 25
not 36.9 5 54
not 89.32 5 29
