age family connections
26.9 30.4 65.2
76.1 2.1 42.9
23.3 45.4 81.5
79.2 8.1 43
33 45.2 39.6
45.9 34.5 10.6
45.8 31.3 12.3
32.2 43.4 13
53 2.9 75.2
72.6 12.6 79.3
53.1 3.3 72
61.4 30.2 17.8
71.9 10.2 59.2
36.3 30.2 14.5
29.8 37.8 62.5
58.5 31.1 13.5
36.1 46.7 46.6
60.6 13.1 74.2
58.9 3.9 68.2
22.1 30.7 100
51 6.4 76.6
54.7 35.7 17.4
63.4 36.3 14.9
33.9 42.8 75.1
39.6 38.3 38.4
51 34.5 14.9
61.1 14.8 55.5
39.2 42.5 11.4
79 8.7 46.5
68.7 14.8 66.8
62.6 6.2 73.4
22.9 33.9 92.8
59.2 6.7 71.4
23.9 30.4 58.5
49.3 38.4 13.4
76 7.9 61.4
78.9 12.1 48.4
59.3 14.6 63.4
60.4 37.5 17.7
66.1 13.9 47.4
25.6 31.9 44.7
39.5 35.9 80.8
35.7 32.1 46.8
58.1 3.3 44.7
39.8 49.7 39.6
38.1 41.5 57.7
48 44.1 10.8
26.8 43.6 52.2
63.3 34.3 15
58.3 4.5 78
59.7 8.2 41.1
51.9 42.9 16
42.9 47.8 16.3
26.1 37.8 41.2
64.5 49.1 15.6
43.2 49.9 12.3
54.5 32.2 14.9
22 33.2 49.8
67.5 11.5 46.6
76 11.2 70.4
54.4 6.7 66.9
51 37 12.4
32.3 34.7 18.9
74.4 11.7 46.2
53.7 14.7 57.4
63.9 4.1 63.4
25.4 34.6 78.4
25.7 46.2 36.6
74.7 7.6 70.2
33.2 38.9 73.9
30 34.3 17
24.3 46.3 51.5
57.5 48.7 11.2
53.8 10.8 57.2
75 14.6 42.8
29.2 44 36.1
79.8 5.3 42
33.7 45.7 54.8
44.7 35.7 10.8
61 4.3 61.4
50.2 48.9 13.4
48.6 31.7 18.6
45.8 44.7 11.7
29.1 45.4 34.4
36.3 36 55.5
59.4 2.5 60.8
33.6 48.1 31.8
79.7 5.9 77.6
57.5 38.9 18.2
20.8 44.8 54.4
74.9 9 51
74 3.2 73.3
41.1 45.1 19.6
33.3 47.1 18
45.4 36.6 12
52.8 47.8 15.3
53.5 43.3 15.3
65.3 2.2 41.9
77.9 12 48
69.5 10.5 55.8
