email hour length mispelings flags
good 21.254987552762 83.7626134668254 8 links
good 11.2821642961353 86.5459880342614 7 links
spam 15.6677774973214 2.20502421501357 8 links
good 2.51842733100057 32.4817144354836 6 foreign
good 16.7600688412786 8.73956377228559 5 foreign
good 20.8661075681448 116.340198330352 6 links
spam 12.9947973154485 81.6739970365828 7 urgency
spam 20.3073273785412 26.7637191918907 8 isolation
spam 5.85133409500122 63.0927275984527 9 isolation
spam 9.22507609426975 98.1391031658244 3 foreign
spam 22.9333538711071 42.7267931928574 9 urgency
good 20.4156225007027 27.3079675245013 6 isolation
spam 7.02264993265271 42.7483422929657 8 foreign
spam 23.9536193199456 32.508782557804 0 links
good 17.9283312186599 57.9537463265837 4 links
spam 23.9822845906019 137.906423175648 0 isolation
good 21.5098941363394 40.8400887351333 0 isolation
spam 5.40275485441089 55.5063118520414 0 isolation
spam 7.25498169846833 79.443015363484 6 foreign
spam 16.7327749561518 20.2994993775635 1 urgency
spam 5.64755326509476 128.224042475314 5 urgency
good 22.8501579388976 18.4275572457778 2 foreign
good 3.76164400018752 66.4568409445063 1 isolation
good 10.9183714985847 108.139453165208 5 urgency
spam 10.8619335740805 17.6061648803924 10 foreign
spam 17.3686894364655 59.4397366728955 6 foreign
good 23.5781528782099 26.1447953353711 9 isolation
spam 22.4915689118207 11.7381742788992 10 links
good 0.590787565335631 46.2202130842514 8 links
good 23.3469870910048 67.3513765587234 1 links
good 21.0176048241556 14.4812925543497 9 foreign
good 11.4450057763606 2.66204300352597 7 links
spam 4.38642316125333 61.1849186765374 5 urgency
spam 1.09796732291579 26.7410194859047 7 isolation
spam 18.337572215125 36.8587164154201 10 links
good 6.71116129495203 112.36871768582 6 links
spam 17.1860943585634 94.8056960162353 0 links
spam 23.0357612483203 103.683803134521 5 isolation
spam 19.3485734090209 23.8694329988218 7 links
good 11.6742607522756 38.6440498324023 3 links
spam 7.76260452903807 42.5390241659285 10 urgency
good 4.03080430626869 26.5940970815413 0 foreign
good 12.6265344768763 0.558449078343623 3 urgency
good 20.8454697523266 98.5259700810222 0 links
spam 23.4282223619521 47.8408947170888 8 isolation
good 23.7440196834505 29.7378775264808 6 links
good 4.71353698521852 41.3331264637916 6 foreign
good 14.4044283740222 25.90418827329 5 links
good 22.1617540698498 48.2340333868014 3 foreign
spam 0.978220878168941 88.3570525144898 4 isolation
spam 1.88742094673216 66.0160621492663 5 foreign
good 12.1658672075719 2.64553172338738 3 urgency
spam 4.08576203137636 51.7486637601815 10 links
good 15.630133761093 75.2040475141026 3 foreign
spam 11.2837416026741 7.09231138161264 3 links
spam 16.012328479439 30.832270726592 3 urgency
spam 8.78075893968344 128.957363165679 6 urgency
good 13.7434509303421 32.454905294255 8 links
good 11.9064140114933 18.0427018349005 8 links
spam 5.75990522839129 12.6149788660116 9 urgency
spam 16.44126307033 10.4121013444572 2 links
good 7.72023082338274 55.7169731052593 3 links
spam 4.55210140161216 57.8755015736722 5 links
good 16.0572089105844 8.63913217982709 8 urgency
good 7.25353630632162 73.6656807169959 4 foreign
good 12.9868373684585 7.09237765058311 5 urgency
good 6.26415980793536 35.6346489612359 7 isolation
spam 8.75998740456998 18.8015949289401 0 urgency
good 12.8040128331631 29.4081854640769 6 links
spam 15.9459187556058 26.4641000759924 9 foreign
good 0.28985290043056 9.23978561526469 2 urgency
good 12.4992901347578 14.0741512267775 6 foreign
attack 20.3820266202092 38.0527142378795 3 isolation
attack 23.5415090639144 32.7937968434607 4 urgency
good 8.18711615167558 92.1467825832495 10 links
good 6.05268409475684 102.635227692432 8 links
good 17.3407316375524 2.14819641092771 6 urgency
good 8.16839280724525 44.3187679903341 1 isolation
spam 3.44486458227038 45.8677692240022 0 links
good 9.2967350743711 51.17251162764 8 foreign
good 22.7314478605986 22.1375491946335 4 isolation
good 10.966908255592 8.32192462042262 6 foreign
good 19.3480006568134 30.542983530363 7 urgency
spam 15.6732899677008 63.8035393018725 3 urgency
spam 18.5139017812908 7.32486943036465 0 foreign
spam 12.9113856162876 42.4301286862992 10 links
good 17.328223541379 52.3444126351013 6 foreign
good 20.0932519957423 99.0677354446501 3 foreign
good 8.84840815700591 72.521022663105 3 urgency
spam 8.9534159861505 49.9673328278865 7 isolation
good 4.719532918185 93.5111831299341 9 links
attack 22.4897606447339 15.0048400393693 0 links
attack 6.05733999609947 38.1859422987309 0 urgency
good 7.13501224480569 2.86663068242819 10 foreign
good 1.07182352989912 21.1768719931523 2 isolation
spam 15.6951498761773 18.6238199508161 10 urgency
spam 8.80341213382781 22.7682762121015 3 foreign
good 4.9090343490243 22.687787314088 0 links
good 11.0216298177838 28.0942593007789 7 isolation
good 21.9535814411938 38.8400782083208 9 isolation
good 12.7796999942511 12.486461929736 3 links
good 22.0562163032591 10.5329412479898 2 links
good 0.0438807439059019 39.8087934375003 2 foreign
good 7.74667299538851 25.6469944655351 9 foreign
spam 13.817435670644 45.1318007655466 10 foreign
good 2.40727810934186 17.5277761563394 4 isolation
spam 2.95167779177427 39.6975284140013 0 foreign
spam 4.30728129856288 1.09803121409854 4 links
good 6.22019026614726 15.9702600906383 7 urgency
good 15.2453090865165 9.69548745377052 1 isolation
spam 12.2895854562521 37.7619583703247 10 links
good 6.08203463628888 71.9930861676183 4 links
spam 13.6354230288416 82.314873715518 5 isolation
spam 10.5364179220051 85.1096048277353 10 urgency
good 17.9739792868495 51.2948547074859 7 foreign
spam 22.7066411040723 74.1225669540163 6 links
spam 2.10115371644497 132.114177180615 10 isolation
good 22.8756683338434 68.1270639167857 2 foreign
good 3.84692442789674 26.831827955309 6 urgency
good 1.27885562181473 94.4690940118717 2 urgency
good 8.10167613811791 0.0877900976708834 7 foreign
spam 0.092346366494894 13.7345214835023 6 urgency
spam 3.59940643049777 22.772514303968 9 isolation
spam 20.3601474445313 38.6614720499246 7 isolation
good 4.37687340192497 31.4740537277119 1 isolation
good 10.6938378028572 46.727553615165 4 isolation
spam 19.8684971407056 21.9189144111826 4 links
