nose eyebrow mouth head hair
12.3 27.6 53.9 88.9 69.1
15.4 21.8 55.2 227.1 66.3
36.2 27.4 33.7 159.7 95
25.6 28.2 54.1 110.8 53.3
14.7 23.4 51.9 222.8 13.2
13.9 29.3 58.9 86.3 10.4
17.4 27.8 58.7 80.6 4.9
29.8 28.2 29.8 145.6 34.7
40.3 25.9 50.7 118.9 87.1
30.5 26.6 51 172.4 56.7
18.1 27.7 50.3 88 43.2
47.4 26.6 47.7 190.1 49.5
35.1 29.1 25.9 118.5 8.2
38.7 26.7 55.6 106.9 41.6
14.7 18.7 56.2 195.4 70.8
24.8 27.1 17.9 146.3 25
14.2 30.3 26.6 152.4 71
21.8 27.8 50.7 179.8 41.5
37 30 28.3 123 88.3
55.9 16.7 52 83.9 17.3
17.5 19.7 50.8 215 26.6
11.1 19.9 53.2 180.9 4.1
15 21.3 29.8 234.4 55.8
14.9 38.1 27.5 201.2 67.4
35.3 15.7 59.2 93.6 23.3
52.4 24.1 58.5 81.4 12.3
16.1 25.3 58.7 93.6 94.1
13.6 21.7 50.1 235.7 49.6
12.1 26.9 57.1 90.5 7.5
54.6 23.1 58 92.4 25.2
32.7 19.1 36.1 92.9 21.9
22.1 29.3 48 196.3 13.9
49 15.9 50.8 91.1 34.7
48.9 26.7 17.1 197.1 16.8
11.9 29.6 29.8 121.6 57.4
48.7 26.3 28.4 136.8 73.9
11.8 25.6 56 91.5 90.1
19.7 28.6 52.4 85.8 95.1
51.5 16.8 58.3 89.7 13.4
36.7 19.2 51.3 94.4 47.3
41.6 21.3 13.1 98.6 94.4
16.6 36.8 27.9 183.5 54
10.3 19.4 52.7 213.1 11.5
15.1 29.7 57 90.6 2.1
10.5 28.6 58 90.2 27
15.8 27.1 58.4 89 59.1
17.5 38.6 24.5 204 72
45.5 28.2 21.5 102.7 60.2
36.6 18.3 56.2 86.3 25.4
10.2 17.8 55 241.6 45.4
16.4 33.4 26.2 249.7 40.1
16 25.2 22.5 165.7 63.2
12.3 20.9 21.4 124.1 56.4
38.5 22 31.8 93.9 75.6
18.4 18.4 56.1 208.6 99.4
58.7 22.6 53.4 89.3 18
13 20.2 50.9 160 12.2
35.7 21.1 14.6 94 74.4
17.6 26.6 24.4 156.7 71.8
13.5 26.7 25 190.7 73.6
13 24.6 57.8 156.8 75.2
15.5 27.6 50 94.6 36.1
17.9 25.8 56.2 94.2 10.5
31.1 28.9 35.7 110.2 38.6
34.5 24 48.8 85.2 12.5
16.6 37.6 29.2 229 66.2
10.2 26.9 22 168.7 75.5
15.5 38.5 26.8 203.3 68.2
48.7 23.6 56.3 83.3 30.9
22.8 27.2 50.5 175 89.4
15.7 39.7 26.7 155.4 52.8
33.8 18 39.2 90.5 26.8
18.6 25.5 25.1 156.4 50.8
35.3 21.2 20.6 94.4 56.3
36.7 20.4 24.8 92 60.5
19.4 29.3 25.8 229.6 52.9
47.2 16.5 32.9 91.9 48.7
49.5 24.7 59.7 95.9 35.6
19.3 34.9 24.2 188.7 68.6
38.5 15.5 55.4 92.5 29.3
18.2 24.4 55.3 133.2 50.8
37.7 19.1 32.3 88.7 30.8
50.7 24.6 55 80 23.5
18.2 22.4 51.1 131.4 70.1
56.4 22.3 35.9 86.6 95.9
53.5 16.8 55.4 86.9 42.2
12.3 27.4 24.1 124.8 68.7
10.5 20.1 29.5 127 52.1
55.3 16.2 43.7 89.7 58.3
18 29.2 54.6 84.6 92.1
49.1 24.7 41 93.5 29.2
13.5 25.3 52.5 94 90.5
18.2 22.1 29.3 134.9 63.4
37.5 26 56.9 132.8 10.5
51 20.3 15.4 81 33.6
16.6 28.6 59 86.7 1.5
45.5 15.9 57.7 94.3 31.7
19.4 26.2 59.6 81.6 9.5
12.8 29.2 27.6 170.3 52.4
57 21.4 14.4 84.6 63.9
15.7 28.6 22.2 163.5 72.4
11.1 24.3 56.7 177.8 23.1
50 20.2 38.6 93.9 43.7
11.1 28.4 56.1 92.3 67.7
30.5 16.9 51.4 93.7 17.4
52.3 17 51.9 95.2 32.1
13.1 23.3 20.9 209.1 50.3
25.9 25.8 34.3 110.5 91.2
40.7 19.6 58.2 97.7 47.9
14.3 28.5 26.9 214.4 79.1
33.6 20.1 51.4 100 44.8
11.8 29.2 55.7 94.2 61.1
48.6 19.4 38.9 83.3 25.3
35 29.1 27.7 138.5 58.6
58.1 17.2 31.9 80.7 47.6
46.4 27.8 42.4 151.2 75.7
35.1 27.8 13.3 124.7 11.3
10.8 18.2 57.2 173.5 21.3
17.4 26.8 60 89.9 35
15.1 22.4 29 170.7 53.5
40.8 21.8 18.2 90.2 24.3
15.6 25.5 24.9 231.8 72.2
12.1 20.6 57.8 123.1 72.6
51.7 24.3 15.7 88.7 32.7
23.6 26.4 26.4 175.3 14.3
14 25.3 52.8 90.3 2.9
19.2 24.8 52.7 181.5 51.6
15.2 24.6 50.7 155.3 14.7
23.1 26.2 30.1 181.3 2.4
42.9 18.3 58.8 89.6 34.6
12.1 29.9 52 89.6 56
15.5 20.1 26.3 121.7 70.6
15.2 21.6 24 142.7 45.8
34.9 20.2 51.6 90.3 16
35.2 27.6 53.6 110.3 61
56.8 22.7 50.6 89.4 43.4
44.3 29.5 41.7 176.4 65.2
37.3 28.8 35.6 114.8 64.4
18.7 29.6 54.5 97.7 21.8
46.4 22.9 33.8 80.5 78.4
39.1 27.3 29.1 156.3 60.1
27.7 27.8 44.7 197.2 86.9
13.6 17.1 57.9 225.7 89.4
48.6 21 53.6 93.2 21.8
19.8 29 55.3 91.4 43.7
36.6 18.8 50 81.8 40.4
18.7 27.2 22.9 242.9 67.9
53.8 15.3 50.6 93.6 37.7
33.7 26.3 16.1 120.2 12.3
15.5 18.2 50.7 124 47.4
17 28.1 53.8 89.1 41.3
36.9 20.9 54.3 80.1 45.2
40.5 17.2 59.8 91.7 38
18 28.1 53.8 82.4 78
24.2 28.9 20.8 103.8 6.6
16.5 21.9 27.2 153 57.9
19.1 20.9 53.1 234.2 31.9
16.1 21.7 25.5 241 54.2
50.6 16.8 15.9 86 34.9
30.4 24.6 30.7 99.8 93.2
13.7 27.2 54.4 89.9 24.3
21.9 26.4 14.4 196.2 24.9
23.1 25.2 58.6 173.7 72.6
57.1 24.3 59.9 85.6 37.6
12.9 15.8 53.4 249.1 41.8
41.5 24.8 16.6 95.6 38.2
46.1 20.4 36.9 81.1 52.9
16.4 20.7 52.2 240.3 31.7
16 29.9 54.9 97.2 87.6
16.7 23.8 54 147.4 94.4
38.7 17.5 50.7 93.8 18.7
42.1 24.3 10.8 97.5 62.5
54.6 19.4 59.1 98.3 41.9
13.4 18.8 53.6 220 14.6
25.6 29.4 25 155.9 50
12 29.9 52.8 86.8 24.1
55.5 24.1 19.4 86.6 95.6
12.5 23.2 21.9 166.9 71.5
38.7 17.2 58.8 98.2 21
13.4 25.5 54.2 86.1 7.6
30.5 27.3 24.1 137.8 38.4
49.3 16.6 52.7 85 15.2
10.4 23.1 51.6 169.3 21
22 29.7 58.9 167.1 96.5
11 15.7 55.8 127.4 78.9
32.3 26.9 54 119.6 8.1
16.9 19.7 57.1 127.2 26.8
35.2 17.4 50.2 83.8 15.3
15.7 33.9 29.2 128.5 40.5
11.5 28.8 53.5 86.2 51.2
52.3 23.1 55 93.6 45.3
43.1 23.6 53.8 83.8 26.1
18 16.5 52.8 183.8 43.7
43.6 20.2 16.1 95.1 48.2
15.1 15.3 53.2 151.3 74.9
18 29.8 22.7 231.4 46.5
18.3 27.8 50.3 95.1 33.4
38.7 16.1 40.2 93.7 96
47.4 19.5 43.5 96.7 82.8
16.3 26.9 55.9 82.4 61.4
13.4 23.4 55.7 138.4 96.3
13.3 26.5 26.3 127.6 70.8
47.4 26.9 38.4 171.6 13.8
35 17.8 55.1 84.4 15.7
16.5 25.9 24.4 196.7 49.2
41.1 24.1 54 83.1 49.4
42.8 18.6 11.4 88.4 19.7
17.3 15.6 57.1 233.9 77.3
