alert light action
1 Green Gas
1 Red Brake
1 Red Gas
1 Green Brake
0 Yellow Gas
1 Yellow Neither
1 Red Neither
1 Yellow Neither
1 Yellow Brake
1 Red Neither
1 Green Brake
1 Green Gas
0 Red Brake
0 Red Gas
1 Yellow Neither
1 Yellow Brake
1 Yellow Neither
1 Yellow Gas
1 Yellow Brake
1 Red Neither
1 Red Neither
1 Yellow Neither
1 Green Brake
1 Green Neither
1 Yellow Neither
1 Yellow Gas
1 Yellow Neither
0 Red Brake
1 Green Brake
0 Red Gas
1 Red Neither
1 Yellow Neither
1 Green Brake
1 Red Neither
0 Yellow Gas
1 Yellow Neither
1 Yellow Gas
1 Green Gas
1 Yellow Brake
1 Red Gas
1 Green Gas
1 Green Brake
1 Red Gas
1 Red Neither
1 Green Gas
1 Yellow Brake
1 Green Neither
1 Green Gas
1 Yellow Neither
1 Red Gas
1 Yellow Brake
1 Red Brake
1 Green Gas
0 Yellow Gas
1 Green Brake
1 Green Neither
0 Yellow Gas
0 Red Gas
1 Yellow Neither
1 Red Neither
1 Yellow Gas
1 Red Neither
1 Yellow Neither
1 Yellow Gas
1 Green Brake
1 Yellow Neither
1 Red Brake
0 Yellow Gas
1 Yellow Gas
0 Red Brake
1 Red Neither
1 Yellow Brake
1 Yellow Neither
1 Green Brake
1 Yellow Brake
1 Red Brake
1 Green Neither
1 Red Neither
1 Red Neither
1 Yellow Neither
1 Yellow Brake
1 Red Neither
1 Green Brake
1 Red Neither
1 Yellow Brake
1 Yellow Brake
1 Green Neither
1 Green Neither
1 Yellow Neither
1 Green Gas
1 Red Neither
1 Yellow Brake
1 Green Brake
1 Yellow Gas
1 Green Brake
1 Red Gas
1 Green Gas
1 Yellow Neither
1 Green Neither
1 Yellow Gas
1 Green Neither
1 Green Gas
1 Green Gas
1 Red Gas
0 Red Gas
1 Red Gas
1 Yellow Neither
1 Green Neither
1 Yellow Gas
0 Red Gas
1 Red Brake
1 Green Neither
1 Red Brake
1 Green Gas
1 Green Neither
1 Green Gas
1 Green Gas
1 Red Brake
1 Red Gas
1 Yellow Brake
1 Green Neither
1 Yellow Neither
1 Green Gas
1 Red Neither
1 Red Neither
1 Red Neither
1 Yellow Brake
1 Red Brake
1 Green Gas
1 Yellow Neither
1 Yellow Neither
1 Red Neither
1 Yellow Gas
1 Yellow Brake
0 Yellow Gas
1 Yellow Neither
1 Green Brake
1 Yellow Gas
1 Green Gas
1 Yellow Neither
1 Green Brake
1 Yellow Neither
1 Red Brake
1 Red Gas
1 Yellow Neither
1 Green Gas
1 Yellow Brake
1 Green Neither
1 Yellow Brake
0 Red Brake
1 Yellow Brake
1 Green Gas
1 Yellow Gas
0 Red Gas
0 Red Gas
1 Yellow Neither
1 Green Neither
0 Yellow Gas
1 Green Brake
0 Red Gas
1 Red Neither
1 Red Gas
1 Red Neither
1 Green Brake
1 Green Neither
1 Yellow Neither
1 Yellow Brake
1 Yellow Brake
1 Green Neither
0 Yellow Gas
1 Red Neither
1 Red Neither
1 Yellow Gas
1 Green Brake
1 Red Neither
1 Green Gas
1 Yellow Brake
1 Yellow Neither
1 Green Neither
0 Red Gas
1 Green Brake
0 Red Gas
0 Yellow Gas
1 Green Neither
1 Red Brake
1 Green Brake
1 Green Neither
1 Green Brake
1 Red Brake
1 Green Brake
1 Green Brake
1 Red Neither
1 Red Brake
0 Red Gas
1 Green Neither
1 Red Gas
1 Green Brake
1 Green Gas
1 Yellow Gas
1 Yellow Neither
1 Green Neither
1 Yellow Neither
1 Green Gas
1 Yellow Neither
1 Red Neither
1 Red Brake
1 Yellow Neither
1 Yellow Gas
1 Green Brake
1 Green Brake
1 Red Neither
1 Yellow Neither
0 Yellow Gas
1 Green Neither
1 Green Gas
1 Green Gas
1 Red Neither
1 Green Gas
1 Yellow Brake
1 Green Gas
1 Yellow Neither
1 Yellow Gas
1 Red Brake
1 Yellow Gas
0 Yellow Gas
1 Yellow Neither
1 Green Neither
1 Yellow Neither
0 Yellow Gas
1 Yellow Neither
1 Red Brake
1 Yellow Gas
1 Green Neither
1 Red Gas
1 Yellow Neither
0 Red Gas
1 Yellow Neither
0 Red Brake
1 Green Gas
1 Green Neither
0 Red Gas
1 Red Neither
1 Green Neither
1 Red Neither
1 Red Gas
1 Green Gas
1 Green Gas
1 Red Brake
1 Green Neither
1 Green Neither
