"spending" "time" "visits"
"1" 5.16 3.82 6
"2" 5.9 2.92 5
"3" 3.43 3.78 10
"4" 3.7 2.84 5
"5" 7.66 1.03 2
"6" 3.14 3.47 10
"7" 1.64 3.51 10
"8" 5.08 2.22 6
"9" 4.76 3.31 4
"10" 6.84 3.6 10
"11" 6.01 2.88 5
"12" 4.35 3.54 8
"13" 6.74 3.71 7
"14" 4.05 1.23 3
"15" 5.74 2.85 7
"16" 6.07 2.88 4
"17" 1.92 3.66 5
"18" 7.4 3.97 7
"19" 5.54 1.59 1
"20" 6.66 2.73 6
"21" 7.98 2.97 6
"22" 1.16 3.62 8
"23" 5.95 3.6 9
"24" 7.4 1.73 0
"25" 6.93 1.38 2
"26" 4.31 3.78 13
"27" 7.95 3.68 6
"28" 6.41 3.49 7
"29" 4.25 2.81 9
"30" 1.04 1.34 1
"31" 7.4 1.17 4
"32" 0.28 3.89 6
"33" 4.54 1.67 5
"34" 4.55 3.2 11
"35" 5.11 2.45 5
"36" 3.15 3.93 11
"37" 4.51 1.68 4
"38" 3.93 1.93 1
"39" 1.72 1.76 2
"40" 0.57 3.3 4
"41" 7.45 2.6 10
"42" 5.87 3.97 8
"43" 5.1 2.92 6
"44" 3.46 1.09 2
"45" 0.83 1.15 3
"46" 1.48 3.8 6
"47" 5.61 2.19 11
"48" 4.39 1.3 2
"49" 0.76 3.43 6
"50" 5.47 2.92 6
"51" 1.77 2.27 2
"52" 5.53 3.83 8
"53" 1.04 2.04 3
"54" 5.75 2.41 3
"55" 1.97 1.85 3
"56" 5.88 2.27 4
"57" 1.24 2.33 0
"58" 5.06 2.01 5
"59" 5.03 2.77 6
"60" 5.35 1.64 5
"61" 2.63 2.6 3
"62" 4.98 3.43 8
"63" 0.9 2.58 8
"64" 5.29 1.91 6
"65" 4.57 3.49 12
"66" 6.26 3.7 7
"67" 7.78 3.78 14
"68" 7.65 3.88 9
"69" 3.34 2.99 8
"70" 2.46 1.2 5
"71" 2.7 3.9 8
"72" 7.81 1.63 2
"73" 4.98 1.86 9
"74" 6.84 2.3 8
"75" 3.74 2.38 6
"76" 1.09 3.2 12
"77" 5.4 1.19 1
"78" 4.79 3.32 10
"79" 6.74 2.96 4
"80" 7.17 1.37 4
"81" 4.43 1.77 4
"82" 3.85 2.1 10
"83" 3.22 3.54 5
"84" 1.87 1.48 2
"85" 4.38 2.39 6
"86" 4.35 2.52 4
"87" 0.67 3 5
"88" 3.25 1.78 2
"89" 3.96 3.68 5
"90" 4.52 1.32 1
"91" 0.95 1.2 4
"92" 7.45 2.72 5
"93" 7.09 3.48 10
"94" 6.94 3.85 12
"95" 2.81 3.8 4
"96" 3.4 1.93 2
"97" 2.97 1.41 2
"98" 3.91 1.43 2
"99" 6.24 3.32 8
"100" 2.48 1.18 3
"101" 1.08 3.48 3
"102" 0.24 3.98 8
"103" 2.17 2.51 3
"104" 1.39 2.04 2
"105" 6.13 3.24 7
"106" 6.71 3.27 8
"107" 0.42 2.58 5
"108" 0.83 1.58 2
"109" 7.86 3.35 11
"110" 7.14 1 1
"111" 6.59 3 8
"112" 6.92 1.68 4
"113" 0.52 1.23 0
"114" 5 1.37 5
"115" 4.78 2.8 8
"116" 6.67 2.35 4
"117" 2.9 1.54 2
"118" 6.19 1.52 3
"119" 1.55 2.77 5
"120" 3.12 3.72 10
"121" 7.48 2.19 2
"122" 7.9 3.64 5
"123" 2.19 2.32 8
"124" 5.56 1.13 1
"125" 3.27 3.56 15
"126" 2.87 1.48 2
"127" 5.33 2.68 7
"128" 1.77 1.25 1
"129" 5.94 2.15 4
"130" 2.36 2.34 8
"131" 5.03 3.05 5
"132" 4.66 3.02 6
"133" 1.31 3.25 3
"134" 5.42 3.43 3
"135" 7.4 2.47 3
"136" 6.12 2.96 7
"137" 6.07 3.4 9
"138" 5.81 3.24 8
"139" 0.29 1.72 4
"140" 1.88 2.45 5
"141" 2.04 3.01 4
"142" 3.08 2.72 6
"143" 0.76 1.56 5
"144" 1.76 3.92 9
"145" 1.63 3.48 6
"146" 4.29 3.59 5
"147" 1.04 3.47 5
"148" 0.5 1.68 2
"149" 7.81 1.29 1
"150" 2.56 3.69 7
"151" 5.05 3.58 5
"152" 1.88 3.22 16
"153" 5.69 1.46 3
"154" 5.29 2.92 6
"155" 2.73 1.51 0
"156" 6.59 3.53 8
"157" 3.52 3.25 9
"158" 4.06 3.85 11
"159" 7.42 2.47 4
"160" 5.04 2.27 4
"161" 0.75 3.99 4
"162" 4.97 3.18 6
"163" 6.96 1.41 7
"164" 6.93 1.79 7
"165" 2.92 3.11 4
"166" 4.87 2.45 6
"167" 2.25 1.94 7
"168" 4.62 3.48 9
"169" 0.11 3.7 4
"170" 6.21 1.25 1
"171" 0.82 1.69 5
"172" 0.39 1.33 0
"173" 6.52 2.49 6
"174" 2.14 3.66 15
"175" 0.47 1.35 4
"176" 0.21 2.67 5
"177" 6.71 2.76 7
"178" 0.28 1.29 1
"179" 7.09 1.04 2
"180" 0.89 2.55 2
"181" 6.07 3.15 7
"182" 7.38 1.65 4
"183" 0.36 3.37 3
"184" 1.13 3.73 8
"185" 7.63 2.54 4
"186" 3.85 1.12 1
"187" 1.49 3.78 3
"188" 5.16 3.57 7
"189" 4.93 1.59 2
"190" 7.78 3.45 4
"191" 1.15 1.54 2
"192" 5.54 1.43 7
"193" 7.23 1.58 3
"194" 3.4 1.71 4
"195" 0.34 2.68 4
"196" 1.88 1.05 3
"197" 5.92 3.38 12
"198" 4.92 2.28 5
"199" 5.02 2.57 5
"200" 7.82 3.75 5
"201" 0.99 1.99 3
"202" 6.1 1.78 5
"203" 4.76 2.91 5
"204" 7.51 3.21 4
"205" 1.29 2.1 5
"206" 0.94 1.53 0
"207" 6.62 1.79 5
"208" 5.14 3.21 7
"209" 7.5 2.69 3
"210" 3.25 3.78 6
"211" 6.15 3.91 5
"212" 5.71 2.91 5
"213" 0.38 3.74 6
"214" 4.56 3.53 5
"215" 2.4 3.94 6
"216" 5.27 3.45 4
"217" 6.69 1.06 4
"218" 7.58 1.93 3
"219" 4.88 1.37 3
"220" 3.07 2.08 6
"221" 7.53 2.81 5
"222" 1.31 1.26 0
"223" 7.34 2.7 6
"224" 0.97 1.78 4
"225" 4.7 3.15 3
"226" 1.69 3.62 9
"227" 1.47 3.53 10
"228" 2.76 3.06 5
"229" 7.69 2.7 10
"230" 0.45 2.76 12
"231" 0.64 2.21 3
"232" 5.24 1.73 2
"233" 5.64 2.54 6
"234" 0.71 3.85 7
"235" 7.7 1.8 5
"236" 4.58 2.54 3
"237" 3.36 3.98 7
"238" 6.29 2.06 2
"239" 2.88 3.67 4
"240" 0.43 1.24 2
"241" 4.49 3.32 6
"242" 5.63 2.28 9
"243" 4.25 2.09 7
"244" 3.88 1.39 1
"245" 5.41 3.22 7
"246" 7.4 3.8 8
"247" 5.54 1.35 1
"248" 2.38 1.8 4
"249" 3.83 1.6 2
"250" 3.92 1.21 4
"251" 2.12 3.45 3
"252" 7.24 3.31 6
"253" 1.49 3.92 7
"254" 0.02 1.89 4
"255" 1.68 1.96 3
"256" 3.78 3.19 5
"257" 1.01 1.87 3
"258" 2.56 1.38 1
"259" 2.99 3.86 9
"260" 6.04 3.83 7
"261" 0.4 3.74 5
"262" 1.99 1.63 3
"263" 4.39 3.57 10
"264" 4.2 3.74 6
"265" 3.62 1.47 5
"266" 6.97 3.16 5
"267" 1.25 1.3 1
"268" 6.84 1.15 0
"269" 5.94 3.41 7
"270" 2.96 2.86 10
"271" 2.4 1.09 1
"272" 0.94 2.9 4
"273" 6.89 3.41 6
"274" 0.7 3.41 10
"275" 1.12 3.97 3
"276" 7.5 3.75 7
"277" 7.51 3.58 9
"278" 7.22 2.03 5
"279" 5.04 2.24 11
"280" 7.52 1.65 5
"281" 1.83 3.82 11
"282" 7.86 3.28 12
"283" 6.45 2.93 6
"284" 7.87 1.66 2
"285" 1.29 3.91 6
"286" 4.55 3.35 6
"287" 3.18 1.33 5
"288" 1.53 1.22 6
"289" 5.56 3.56 12
"290" 0.22 2.76 6
"291" 5.68 3.76 13
"292" 4.01 3.45 9
"293" 7.63 3.06 5
"294" 1.11 1.6 2
"295" 0.44 2.53 4
"296" 0.91 3.24 8
"297" 0.95 3.22 10
"298" 0.15 1.82 5
"299" 5.23 1.47 0
"300" 6.93 2.82 5
"301" 1.22 3.68 7
"302" 7.42 3.31 8
"303" 5.7 1.79 2
"304" 0.4 1.89 2
"305" 5.65 3.09 10
"306" 6 1.01 5
"307" 2.03 1.64 2
"308" 5.23 3.55 9
"309" 2.39 3.4 4
"310" 0.22 3.96 7
"311" 7.39 2.78 3
"312" 3.44 1.23 6
"313" 2.3 3.35 6
"314" 1.28 2.09 4
"315" 6.38 1.02 2
"316" 7.11 3.99 12
"317" 1.92 2.84 8
"318" 3.94 3.81 5
"319" 4.26 2.49 5
"320" 0.55 3.53 9
"321" 1.81 1.08 1
"322" 7.6 1.97 5
"323" 6.44 2.73 6
"324" 1.69 2.88 4
"325" 0.98 3.83 10
"326" 1.67 1.92 2
"327" 5.69 2.21 5
"328" 1.17 3.03 9
"329" 0.25 3.97 7
"330" 2.05 1.28 2
"331" 4.68 3.5 9
"332" 2.31 2.5 3
"333" 1.14 3.75 10
"334" 2.17 1.61 4
"335" 1.69 3.7 6
"336" 5.95 3.64 8
"337" 6.55 1.57 4
"338" 7.61 1.19 1
"339" 5.39 3.47 7
"340" 0.89 2.07 3
"341" 3.63 2.32 7
"342" 1.61 3.78 16
"343" 1.18 3.46 7
"344" 7.9 2.01 2
"345" 1.94 1.9 4
"346" 3.7 1.44 3
"347" 6.56 1.87 0
"348" 2.29 2.93 4
"349" 7.29 2.23 8
"350" 5.16 3.72 11
"351" 5.85 3.2 5
"352" 1.68 2.46 2
"353" 4.75 1.19 2
"354" 4.19 3.2 8
"355" 3.27 3.48 5
"356" 1.69 2.54 3
"357" 4.54 1.38 4
"358" 5.08 1.01 4
"359" 5.61 1.82 5
"360" 6.13 3.34 9
"361" 0.69 1.77 1
"362" 1.84 3.92 4
"363" 7.88 1.71 5
"364" 3.17 3.29 7
"365" 4.39 3.47 8
"366" 0.4 1.12 1
"367" 7.06 2.52 5
"368" 1.45 2.18 1
"369" 4.73 2.17 7
"370" 3.3 2.72 4
"371" 2.39 1.87 1
"372" 3.46 2.46 7
"373" 1.13 1.55 4
"374" 5.75 1.31 2
"375" 5.53 1.53 1
"376" 6.04 3.21 6
"377" 5.57 1.29 1
"378" 6.56 2.3 2
"379" 6.4 1.36 4
"380" 5.36 3.7 12
