"rain" "humidity" "airpressure" "temperature"
1 60.2 46.3 22.8
0 7.8 52 92.3
1 37.9 88.5 26.3
0 64.5 1.3 94.7
0 74.2 95.3 74
0 68.7 92.9 64.9
0 15.9 54.4 99.9
0 3.8 26.7 32.7
0 16.4 80.9 86.9
0 54 84.5 86.8
0 57.1 3 82.1
0 13.6 59 86.5
0 57.4 15 68.2
0 15.5 25.7 70.4
0 29.7 97.5 26.8
1 89.9 75.7 17.5
1 95.4 21.6 94.4
1 21.2 31.9 0.2
1 95.1 18.1 84.8
0 20.9 87.1 63.8
0 24.6 52.9 23.6
0 31 61.3 66.1
0 9.9 0 37.6
0 63.3 95.6 59.2
0 66.3 12.8 74.9
0 30.2 98.4 60
1 91.7 56.4 62.2
1 82.6 19.2 68.7
1 73 63.2 44.7
0 28.1 32.3 95.2
1 28.7 47.3 12.3
0 52.8 52.1 93
0 83.5 23.6 94.7
0 12.4 79.3 76.2
1 92.8 88.5 92.4
1 81.1 61.1 4.7
0 27.4 17.6 36.3
0 17.6 53.9 84.8
1 80.5 83.2 25.4
0 46.7 61.9 53.8
1 36 9.8 27.7
0 61.8 32.2 72.9
1 46.3 61.2 37.5
0 28.8 5.7 27
1 27.2 27.5 15.8
0 42.4 53.7 66.5
0 9.6 61.9 90.8
1 37.3 67.8 8.5
0 30.7 65.3 87.7
1 71.8 53.1 46.9
0 50.8 36 83.2
1 47.7 33.8 34.2
0 20.5 22.1 89.7
0 17.4 94.6 26.6
0 51.7 76.4 63.1
0 44.5 5.4 55.6
1 53.2 62.4 15.2
0 15.5 14.8 56.7
1 82.7 9.1 70.7
0 67.9 12.2 84
0 9.7 20.8 35.9
0 31.1 50.5 94.8
0 4.9 83.5 50.7
1 41.6 7.7 17.9
1 6.4 80.9 5.6
1 49.9 64.9 19.5
1 22.7 21.1 22.5
1 92.6 82.1 77.9
0 37.9 71.7 48.6
0 75 30.3 98.2
1 35.7 44.1 5.7
1 91.5 31 29.4
1 25.2 82.2 6.2
0 29.1 50.2 35.2
0 9.2 33.2 39.6
0 25 67.4 54.2
1 86.1 58.8 29.5
1 62.1 77.8 56.4
0 42.3 43.8 81.6
1 61.1 40.1 17.1
1 83.6 66 72.9
0 15.1 17.5 40.8
1 81.7 1.6 57.2
1 85.7 3.9 35.5
0 1.9 70.2 78.6
1 58 36.1 13.4
1 76 77.3 49.3
1 70.8 16.4 6
0 26.9 42.6 29
1 95.1 22.6 98.5
0 9.7 64.1 28.7
0 51.9 65.5 43.9
0 24.9 60.2 36.6
1 10.1 26.1 1.2
1 90.1 17.1 56.7
0 65.4 38.6 90.9
0 28.4 18.4 85.9
0 30.5 20.5 92.7
1 41.5 13.7 19.1
1 28.7 34.6 16.3
0 52.7 69.4 77.4
0 34.1 76.6 88.8
1 62.2 23.3 52
0 62.7 98.7 63.4
0 38.7 98.4 69.7
1 78.2 19.5 68.1
0 14.4 76 37.3
1 95.6 66.6 89.2
0 48.1 59.2 82.3
1 5.3 68.3 2.6
1 56 89.6 15.1
1 80.5 5.3 58.2
0 12.5 49 80.5
0 8.4 33.6 93
0 24.6 86.5 48.3
0 49.3 58.8 90.6
0 15.8 40.3 56.4
1 86.9 97.6 90.2
0 33.8 7.7 38.1
1 54.5 24.3 36.7
1 94.6 60.2 37.8
0 21.9 62.3 24
0 37.4 24.8 30.3
0 20.4 34.1 18.7
1 61.2 38.8 39.8
0 38 6.9 74.4
0 48.2 38.3 81.8
0 34.4 73.1 40.2
0 26.1 13.1 97
0 34.7 60.2 47.5
0 33.3 93.3 92.9
1 23.1 89.9 20.7
0 2.6 97.3 31.1
1 73 30.2 1.2
0 12.2 92.4 23.3
0 60 68 76.6
1 74.6 63.9 3.4
1 82.1 60.5 27.3
1 83.8 49.3 89.4
1 17.8 29.9 5.6
1 96.7 25.8 44
1 68.3 25.4 38.3
0 12.7 50.2 95.4
1 87.2 63 14.4
0 23.3 43.2 28.9
0 29.9 39.6 66.6
0 55.3 74.2 79.7
1 88.8 87 86
1 64.9 70.8 39.1
0 6.1 14 36.4
1 86.1 4.7 66.8
1 92.6 20.6 79.8
0 53.6 70.7 97.9
1 25.8 62.7 1.8
0 4.9 21.6 95.3
1 40.3 38.9 25.5
0 41.1 89.7 48.7
1 50.2 75.1 33.5
1 91.9 82.4 90.4
0 17.2 4.5 89.3
0 3.7 92.5 44.5
0 14.4 71 3.4
0 27.1 91 46.5
1 25.7 91.2 3.2
0 30.8 33.2 92.9
0 73.3 18.2 89.4
1 58.5 55.4 30.4
0 8 61.8 74.6
0 63.2 46 97.2
0 57 23.7 86.3
0 30.2 12.1 84.3
0 32.5 86.1 70
1 91.3 19.3 16
1 6.5 32.1 21
1 37 41.6 27.5
1 80 12 9.8
0 23 69.1 90.2
0 18.2 48.4 67.1
1 48.4 20.6 36.9
1 68.3 45.6 58.5
1 64.7 96 5.1
1 94.4 86.1 45.5
1 34.4 74.9 6
1 93.1 32.8 95.2
0 61.6 95.5 65.7
1 19.3 70.7 6.5
0 15.8 6.7 46.8
1 73.5 0.5 74.1
0 70.5 29.7 93.7
0 26.1 94.8 30.8
1 40.3 52.1 18.7
1 40.5 91.4 31.7
0 70.2 95.2 83.8
0 16.1 16.2 88.2
1 86.7 86.6 73.4
0 29.9 84.3 99.6
1 56.5 47.5 48.9
0 17.6 22.4 72.2
1 40.9 88.6 1.3
1 58.6 41.3 30.7
1 66.8 37.6 15.6
0 48.9 81.7 46.1
1 87.9 50.7 51.3
1 7.4 44 3.7
0 52.6 35 80.7
1 98.1 23.8 41.1
1 99.1 39.7 34.6
0 19.8 76.6 47.9
1 76.2 30.1 8.9
0 23.4 63.7 37.7
1 34.3 97 24.9
0 11.6 57.6 98.9
1 83.2 12.1 87
0 41.4 21.2 66.4
0 72 14 90.7
1 87.7 22.2 57.6
0 48.7 85.3 51.2
1 86.5 29.9 99
1 13.5 28.9 6.7
0 18.5 16.4 95.4
1 80.9 54.2 78.8
0 42.6 76.8 60.5
1 33.9 87.8 9.5
1 89.5 64.8 3.6
1 80.7 38.7 52.7
1 69.9 98.6 54
1 6.7 75.6 4.9
1 93.3 49.4 8.1
0 19.9 98.5 39.1
1 56.7 89.6 20.1
0 31.2 26.3 58.7
1 83.1 53.1 66.1
1 88 59.1 28.7
1 73.8 95.1 22.3
0 60.6 88 71.3
0 1.3 85.4 98.1
1 27.5 73.9 2.2
0 81.4 94.9 93.8
0 31.8 95.9 61.1
1 93.6 45.3 2.3
1 93.1 96.2 32.5
0 20.4 56.4 29.4
1 85.5 73.9 35.9
0 11.7 76 24.8
0 55.5 92.9 58.7
1 64.1 90.1 29.5
1 29.1 47.3 8.2
0 37.3 16.1 57.3
0 10.1 37.5 74.2
0 11.1 76.6 81.7
1 99.5 65.1 7
1 67.8 24.5 9.9
1 79.2 5 6.4
0 31 87.7 38.8
0 0.4 35.6 34
0 50.5 7.6 61.3
0 52.7 53 66.4
1 8.8 99 1.5
1 39.3 21.8 23.4
0 15.6 42.9 73.8
1 93.3 47.5 35.2
0 54.9 69.7 92.6
0 28.8 55.8 30.6
0 55.6 67.4 69
0 9.8 90.3 95.2
0 20.1 73.8 52.9
1 96.4 5.4 6.7
0 75.9 6.4 97.6
0 35.8 87.4 41
0 15.8 31.5 72.4
1 49.8 34.7 34.1
1 69.3 51.9 22.9
1 27.6 64.9 0.7
0 22.8 78.3 28.9
0 33 42.1 92.9
1 78.8 42.8 66.8
0 36.7 14.1 70.8
1 84.3 50.1 3.1
1 82.1 31.2 46.3
1 86.1 55.6 73.2
1 50 36.2 19.9
1 79.1 32.5 2
0 41.1 82.2 50.5
0 46.1 3.8 52.1
0 16.4 41.5 28
0 8.9 17.4 36.2
1 98.1 74.1 39
1 63.3 32.5 9.7
0 1.4 6.2 17.5
1 71 49.1 37.9
1 15.4 31 11.4
0 21.1 58 91.2
0 41.2 9.7 44.1
1 8.1 2.4 12.3
0 16.1 21.7 55.9
0 48.2 95.4 76.8
0 41.3 93.1 95.3
1 77.5 11.1 36.3
0 30.6 62.6 82.1
1 62 70.3 37.5
0 10.8 20.8 73.5
0 16.8 62.5 37.5
0 51.3 56 71.4
0 29.6 85 60.4
0 31.4 42.7 62.7
1 74.7 8.8 11.4
1 85.3 48.1 32.6
1 87.7 55.6 31.1
1 76.4 2.1 45.6
1 2.9 28.7 11.8
1 27.9 16.5 7
1 87.7 10 48.6
1 36.3 35.2 23.4
0 28 46.1 66.4
1 93.6 34 58.9
0 17.6 55.5 88.7
0 16.6 98 52.1
1 87.6 22.3 21.3
