planet temperature size reflection
Radiated 5.1 33 69
Iced 40.9 26 63
Thermic 92.2 72 38
Radiated 2.4 2 44
Thermic 56.9 79 59
Radiated 18 45 85
Earthlike 66.9 9 72
Thermic 94.1 70 55
Radiated 56.9 23 42
Radiated 38.2 98 29
Radiated 40.5 84 29
Thermic 91.1 43 86
Radiated 25.1 82 69
Thermic 57.8 31 62
Thermic 84 66 54
Thermic 53.9 81 63
Aquatic 41.3 14 23
Thermic 65.7 88 41
Aquatic 36.4 69 72
Earthlike 15.4 20 44
Earthlike 12.7 32 82
Thermic 86.7 61 93
Radiated 1.5 73 66
Iced 52.4 62 29
Radiated 30 93 49
Aquatic 12.2 7 81
Iced 33.8 53 43
Iced 71.8 38 26
Radiated 19.4 40 58
Radiated 13.3 98 42
Thermic 68.4 38 93
Earthlike 3.5 72 98
Radiated 74.9 86 19
Iced 74.2 59 17
Thermic 95.9 87 15
Aquatic 57.6 24 46
Earthlike 35.1 4 50
Radiated 6.3 39 63
Earthlike 45.1 16 74
Aquatic 49.4 39 16
Earthlike 53.5 21 94
Thermic 65.6 22 21
Earthlike 72.1 6 50
Aquatic 1.9 22 50
Earthlike 6.7 65 92
Radiated 6 96 65
Thermic 50.1 87 81
Thermic 98.3 56 66
Aquatic 32.3 87 15
Radiated 38.8 77 5
Radiated 27.8 49 5
Earthlike 64.1 41 55
Earthlike 3 34 18
Radiated 26.5 79 46
Thermic 55.1 39 70
Radiated 80.2 91 3
Iced 87.8 84 50
Radiated 56.7 91 15
Thermic 47.1 31 76
Thermic 71.9 54 55
Iced 9 29 68
Iced 7.1 33 11
Radiated 0.7 4 28
Thermic 80.1 35 49
Thermic 56.1 72 77
Thermic 50.9 57 68
Thermic 82.5 80 65
Radiated 5.9 76 16
Radiated 34.1 6 59
Thermic 86.4 53 53
Thermic 96.7 95 86
Radiated 28.6 13 74
Thermic 74.3 21 85
Earthlike 74.8 52 34
Earthlike 23.2 54 79
Thermic 59.5 100 98
Aquatic 12.8 54 20
Earthlike 96.7 10 61
Earthlike 96 19 12
Earthlike 45.8 36 68
Thermic 95.2 69 4
Thermic 75.9 31 95
Radiated 17.6 88 58
Radiated 66.4 69 11
Thermic 93.7 51 21
Aquatic 63.1 80 12
Thermic 86.2 49 22
Iced 63.3 72 33
Aquatic 40.8 52 23
Thermic 39.3 51 90
Thermic 67.1 40 44
Iced 99.4 70 22
Thermic 91.4 91 12
Earthlike 19 42 3
Thermic 49.8 60 94
Thermic 84.2 24 82
Aquatic 35.7 22 61
Radiated 31.6 36 58
Earthlike 69.8 1 51
Aquatic 18.8 81 15
Thermic 30.4 95 97
Thermic 70.9 72 64
Earthlike 87.9 5 27
Aquatic 38.5 23 39
Aquatic 11.6 40 27
Aquatic 17.2 19 75
Radiated 41 12 34
Iced 56.5 29 66
Earthlike 13.4 70 60
Earthlike 59.2 52 58
Radiated 20.3 15 21
Earthlike 5.9 76 55
Thermic 82.4 20 88
Thermic 34.4 96 99
Radiated 1 64 66
Iced 60.5 16 69
Radiated 55.7 96 53
Aquatic 15.6 98 19
Radiated 32.4 86 85
Radiated 0.3 17 16
Thermic 52.1 76 84
Radiated 46.2 41 44
Iced 38.9 10 50
Thermic 99 16 75
Iced 1.9 33 72
Thermic 98.1 8 8
Thermic 67.6 80 93
Iced 43.6 82 45
Thermic 55.5 94 61
Thermic 68.7 35 58
Earthlike 77.8 18 27
Aquatic 40.4 98 24
Radiated 25.9 13 77
Thermic 69.4 37 93
Earthlike 13.2 54 94
Aquatic 10.6 62 32
Iced 81 33 34
Thermic 59.1 33 71
Earthlike 9.7 21 22
Earthlike 20.7 50 61
Aquatic 61.6 87 19
Earthlike 89.1 23 58
Thermic 37.8 74 87
Earthlike 29.1 10 21
Earthlike 29.8 30 75
Iced 71.2 9 33
Aquatic 33.5 45 12
Thermic 46.8 69 97
Thermic 79.5 48 93
Radiated 9.6 89 69
Aquatic 5.4 80 36
Earthlike 12.1 51 15
Radiated 23.9 1 38
Radiated 31.1 98 52
Radiated 5.1 81 34
Thermic 53.1 55 67
Thermic 91.7 62 21
Earthlike 10.2 18 97
Radiated 36.5 100 57
Aquatic 3 49 39
Thermic 63.8 90 42
Radiated 18.1 36 53
Radiated 5.4 86 34
Aquatic 65.8 29 48
Radiated 1.2 63 98
Earthlike 8.6 10 42
Thermic 78.4 38 50
Iced 54.7 17 61
Aquatic 47.6 12 23
Earthlike 20 63 59
Iced 14.6 59 0
Radiated 14.6 75 95
Thermic 75.6 4 44
Iced 95.6 90 46
Earthlike 66.1 4 92
Earthlike 6 86 16
Thermic 96.7 55 91
Radiated 15.2 12 61
Aquatic 5.6 2 75
Thermic 70.9 55 90
Aquatic 53.9 18 64
Earthlike 5.8 21 1
Iced 95 46 52
Thermic 68.2 35 97
Iced 53.5 28 1
Earthlike 26.9 27 21
Thermic 89.6 52 41
Iced 43 94 25
Radiated 61.8 21 40
Radiated 0.1 44 64
Aquatic 31.3 41 26
Iced 84.1 85 100
Aquatic 45.9 39 62
Thermic 59.3 77 32
Iced 47.3 86 3
Thermic 53.2 11 78
Thermic 78.3 42 46
Thermic 77.4 26 63
Radiated 29.8 88 37
Iced 38.5 33 50
Earthlike 35.4 39 89
Iced 10.3 32 56
Radiated 33.4 46 41
Radiated 24.2 89 15
Earthlike 35.3 93 5
Earthlike 8.9 17 1
Thermic 77 84 14
Radiated 27.7 60 52
Iced 73 66 78
Earthlike 40.9 14 9
Earthlike 7.8 30 8
Earthlike 83.9 4 67
Aquatic 18.6 44 26
Aquatic 4.3 70 20
Earthlike 89.5 13 49
Radiated 21.3 81 26
Thermic 84 32 36
Iced 81.5 62 60
Iced 11.3 33 50
Thermic 98.9 64 66
Earthlike 59.5 8 4
Earthlike 93.4 6 21
Thermic 56.6 71 100
Radiated 39.4 83 57
Radiated 12.5 17 0
Thermic 47.7 0 20
Iced 92.9 17 10
Thermic 70.5 51 26
Earthlike 9.9 57 87
Thermic 79.3 81 75
Aquatic 28.7 22 35
Thermic 53.5 19 59
Iced 22.6 61 28
Radiated 43.3 78 60
Radiated 13 96 99
Thermic 54.3 52 80
Radiated 39.5 38 54
Radiated 18.1 90 76
Thermic 82.1 35 33
Radiated 35.2 61 46
Thermic 38.9 75 77
Earthlike 78.4 23 2
Thermic 31 72 88
Radiated 5.2 81 77
Radiated 62.4 84 8
Earthlike 87.2 5 40
Iced 19.5 7 32
Earthlike 79.8 91 14
Radiated 36.1 21 1
Thermic 48 91 93
Iced 7.5 6 59
Thermic 55.6 39 97
Thermic 94.6 45 57
Radiated 42.9 57 14
Thermic 82.4 95 63
Iced 77.8 16 33
Iced 35.6 31 64
Iced 96.5 53 40
Earthlike 18.5 88 38
Radiated 5.1 62 51
Radiated 1.7 8 50
Thermic 73.3 65 60
Thermic 94.7 93 51
Radiated 39.1 66 1
Iced 84.9 3 40
Thermic 69.2 60 95
Thermic 89.7 90 48
Earthlike 20.9 42 26
Earthlike 96.4 4 45
Iced 69.7 18 47
Radiated 7.8 31 94
Radiated 51.5 36 0
Iced 75.7 50 9
Earthlike 32.2 59 51
Thermic 98.7 17 99
Radiated 25.1 3 68
Radiated 0.9 52 39
Thermic 58.3 74 48
Aquatic 38.1 63 0
Thermic 78.2 72 14
Aquatic 33.4 98 13
Radiated 26.3 97 17
Iced 35.7 85 76
