particle angle spin speed temp
gluon 43.5 charm 55.7110077991383 56.7071312848122
hadron -55.8 down 48.6620445854146 53.9359858282402
gluon -49.7 up 39.2183074852584 70.4523108017001
boson -3.6 down 51.7834137079873 57.5451087468752
boson -43.1 down 52.9384405165166 45.6983486048027
fermion -32.8 up 47.7592795999369 50.2926984012279
boson -65.3 down 58.9551451397777 36.5648182345372
fermion -16.1 strange 39.7273101497057 42.6052036320218
boson -14.4 charm 43.4616032668957 53.3539578667963
hadron 3.2 up 48.7778426895018 50.1182804964341
gluon -50.6 strange 52.659882815422 39.2882952350175
boson 46.1 up 45.5669082114035 43.6156765878695
gluon -20.9 up 52.792697074021 97.2608125716388
gluon -38.1 up 54.2755521961611 62.2798352509227
gluon -10.2 down 48.1181482282181 74.3616386047146
gluon -22.5 charm 57.1437762403524 47.7429088664724
hadron -20.7 charm 54.3133927014937 33.1759672211595
fermion -43 up 54.4262237679035 51.6545616231374
fermion 53.2 up 45.4526105132794 30.1851998681353
boson 33.3 strange 56.9515096232082 58.7019657769665
gluon -22.8 down 48.2443288241835 70.9549733541184
boson -7 up 43.2877572141712 49.1779066916343
hadron -17.5 charm 49.6733825125109 42.6572789186861
fermion 39.9 down 52.9782243226697 11.3334441283868
boson -60.5 down 52.3414780935788 56.4019964658647
gluon -53 down 46.8313464431812 96.3126037660428
boson 0.5 charm 49.5919573740085 41.3660368117088
gluon -24.6 up 51.7597483055083 54.2070340083379
gluon -20.4 charm 43.4704183247599 65.7433404576518
boson -34.5 down 54.7503953892623 32.0158659243207
boson 0.6 down 53.4258097211307 80.0704051836005
hadron -23.5 strange 51.1334909418211 99.1614749966234
fermion 57.9 charm 44.3435010750615 83.4427032619933
gluon -28 up 40.5455215650935 45.7313460525543
fermion 33.4 strange 46.2283867286979 65.3711859283006
gluon -42.7 strange 55.3541914181754 71.6937676061796
fermion 55.1 charm 48.4440025417072 52.5056566096957
gluon -20.6 down 53.8744375679726 51.8516576160789
hadron 40 charm 62.1377283584104 87.8129907979039
hadron 26.1 charm 43.431560361684 58.2202791603308
gluon -66.1 strange 50.8068308445458 70.7629220628927
hadron -69.1 up 44.3428361759837 35.4124428158128
gluon -64.9 charm 53.549936565123 38.4991087773009
gluon 30.3 up 44.7911691843015 86.2750911317261
boson 25.7 strange 51.3053351132404 10.6253442462467
boson 58.6 down 51.8837389311222 75.0301774719933
fermion 44.7 strange 46.8445704966467 36.5877901600758
fermion 44.6 strange 53.4538383020709 46.4216793037331
gluon 25.7 charm 42.4094796795774 71.1553489427153
fermion -63 up 49.1564887827261 28.6506854973636
gluon -18.7 up 46.5203916174787 54.739269993324
gluon 6.4 strange 48.0651668027732 69.0941749158983
boson -11.8 down 48.8655130714023 55.6946234263626
boson 68.2 up 45.083768299277 16.598969821391
gluon -26.8 up 51.4027276785765 49.8582465825286
boson -18.6 down 45.2129025172828 17.6095331357984
boson 58.1 up 45.9903274833572 64.6422752556894
fermion -13.9 charm 48.3845498790417 10.1158551737739
hadron -55.6 up 51.2611153071877 86.4741255611972
gluon -30.9 up 53.3301965175207 55.9117532682166
boson 49.8 down 45.3158728273015 30.3916133584272
fermion 11 down 54.2446874938909 8.60976392867368
fermion 45.8 charm 51.1067668471061 20.1227220213475
boson 41.2 charm 48.821249228164 59.43022963287
fermion -42.2 charm 48.1828002652302 8.27926256725551
fermion 9.2 up 47.2921765562499 19.8242356339386
gluon 17.2 down 46.0501877939992 69.3040609421366
boson 18.2 up 56.9416155716198 49.5693663089326
fermion 9.1 strange 43.5150961875364 40.1066060151665
fermion -42 up 48.6214763547499 24.7430927050243
fermion -5.8 charm 56.6695747764956 35.8304288747777
fermion -18.9 charm 48.5079037369508 27.2868531727764
boson -66.7 up 44.3300750569836 37.8395125984618
gluon -5.2 strange 54.2635882149169 45.0741929497199
fermion 67.7 strange 54.2660155392336 72.4937431889528
boson 39.6 charm 54.7491286034313 84.5303358705461
fermion 30.6 down 47.1967825197531 62.1050187205545
hadron -17.6 down 47.4710024002589 55.4457604281696
fermion 43.1 charm 43.5753899862746 36.5125443382766
fermion -63.2 strange 56.1127284580729 29.1878574683967
gluon -38.2 down 45.2789814376247 57.5451457560106
hadron 50.7 charm 51.3014610798145 64.6393594716028
hadron 30.7 up 50.4965889898748 48.8801557360209
gluon -39.6 up 54.6081238648862 77.4251164170879
hadron -54.8 charm 48.8445867115637 89.5319294109354
fermion -59.3 charm 45.0496380103871 39.1673335062258
hadron -41.3 down 46.1232744282482 90.5750423851744
boson 32.5 strange 41.9986387609579 38.3602355074294
fermion -44.7 charm 48.715187472557 37.4062686691811
gluon -65 down 54.7971826142709 51.1667048312769
hadron -15 up 66.3212218065494 115.520782414631
fermion 38.9 strange 51.9575428463475 72.7032689283231
hadron -17.5 down 57.372745289084 68.7643222839772
hadron -52.9 down 50.444246701822 32.3202917590408
fermion 43.1 charm 51.0914014814313 33.2985535325447
gluon 8.7 strange 51.9539060275428 37.9003155748116
fermion -20.3 strange 40.1144441276561 15.8373106281853
gluon -54.4 charm 55.2757966384866 32.8324099383028
hadron -16.5 strange 51.8405415053942 87.2058005759827
fermion -51.6 charm 49.9013671800487 19.6989321283753
boson 32.5 down 44.6923694633623 42.0198178245479
fermion -55 up 55.0160356702653 19.2323638698287
boson 41.9 down 56.7923399360744 35.4704239863603
boson 4.2 down 50.9595589971387 94.7820075424419
hadron 46.2 down 54.8259056474508 63.407734286216
gluon -20.6 charm 51.2289704824291 59.0077303761834
hadron 12.1 down 47.8599175488274 73.8761432825824
fermion 44.7 down 47.7848954516496 31.7052257628342
hadron -25.8 up 55.9539527703483 56.5336959904821
hadron -62.7 strange 54.8069322500657 32.2378973803553
gluon 16.8 strange 50.4983211607869 46.6113551853991
hadron -13.4 strange 39.4295377703611 54.945946426202
gluon -42.4 down 50.4203375325095 47.4768889691869
fermion 39.3 up 50.7972984239551 53.5914234831702
fermion -7.6 up 43.4235562918158 44.2048496444034
hadron 1.6 up 53.668849077525 58.9509887322031
hadron 42.7 charm 48.8939992938659 44.2912143070019
fermion 2.9 up 51.7354812710775 15.5217992679324
fermion -40.2 down 40.054957666067 31.3385641030771
gluon -65.7 up 53.7015205958564 69.6029493220089
gluon 28.5 down 56.4386664369387 65.049511146082
boson 65 strange 48.7850720009616 60.3170386985103
gluon -45.3 down 56.1918421739728 33.0907571551219
boson -52.6 down 56.8339423209824 38.003656725182
hadron -62.8 strange 62.1508496231934 38.9106758148465
fermion 65.3 charm 49.4275377943152 79.4766570335706
fermion -42.2 strange 54.6108078789109 33.4842989103603
fermion 24.7 up 47.8183883652475 31.0281085833075
boson 3.3 up 48.6423763266902 90.5341996088565
gluon 7.3 strange 53.5818538130711 58.0494537879728
boson 8.9 down 47.1553852019744 10.3734184595498
fermion -44.9 charm 53.3613924396197 38.7309483018468
fermion 24.2 charm 51.4140220514182 35.2933460052102
boson -41.3 down 50.8271395185526 43.7514340389218
hadron -16.9 down 48.6968622475997 60.5939985897677
boson -6.7 down 45.8949834113745 77.8008407658016
hadron 53.4 up 54.2125893419415 54.4620592898505
fermion 21.5 charm 55.8349304059308 72.414101120946
boson 10.8 down 49.0307293551543 62.9394465347349
gluon 16.7 strange 55.7758850699517 59.5082966608343
hadron -62.5 down 43.7368620326986 77.0121274168343
gluon 44.9 up 54.9228478497188 52.0016804623631
gluon 26.1 charm 44.5212222918157 80.6037550251909
boson 10.4 down 55.0758707115355 48.139818165838
fermion -63 charm 53.6965234840493 6.58088512929147
gluon 50.3 up 62.4575087009812 59.4159163731573
boson 34.8 charm 48.6265981077861 22.4272432481243
fermion 55.8 up 51.9777668689872 35.4337127228694
boson -29.5 down 41.7139862267977 43.0574995373196
boson 6.8 down 53.3689987951055 43.1573992764329
fermion 56.7 strange 47.9146150389106 69.2808290174077
hadron -14.2 strange 46.5699961010772 55.047766641798
boson 64.5 charm 40.8834099743362 19.5994662213015
hadron -41.6 strange 47.4523465246425 39.2719043135475
hadron -8.5 strange 41.7232528139878 64.0428799891246
gluon -68.1 up 51.7832367092166 44.1701235377162
fermion -16.9 charm 42.4334982356528 58.8393702142651
hadron 12.2 strange 52.0951823150696 43.0101855450808
boson 34.2 down 46.8316176819569 20.8498351851955
fermion -40.9 charm 46.9756626209029 79.8009146837635
fermion 41.4 up 51.0491611929282 29.0775025843824
boson -17.1 down 46.6003639116444 55.1491576962656
fermion -39.5 up 47.7000116197543 32.7692833319235
hadron -42.1 strange 55.1025458543869 38.3240997572512
fermion 6.9 charm 41.1510837504627 63.4997478920493
hadron -34.3 down 45.0803368222033 50.4868603527831
fermion -47.4 strange 41.2100937339931 42.3039649622927
gluon -38.3 strange 55.2719769425293 59.8594805186265
gluon -3.5 down 55.5031330357968 88.1867804086083
fermion 68.1 charm 44.0989546423257 86.5257046753905
fermion 12.8 up 61.2951920782443 40.4000940887007
gluon 13 up 45.5606752458548 69.4561002555368
fermion 51.8 down 46.3537649988718 66.5463336922184
boson 13 up 43.3771624880576 15.1507090281536
fermion -39.7 up 51.7490856343079 30.3885952164964
boson 57.7 down 52.4996192640758 41.7722899935985
hadron -22 charm 50.4208682523829 50.3805138678544
boson -36 down 46.6776992173938 24.9884691949258
hadron -10.5 charm 58.0701121032156 21.0059944328272
gluon 42.8 charm 47.7464911367989 82.9902731903852
gluon -34.1 charm 49.8207507529519 48.7355469382799
hadron 39.5 up 53.8931101236732 36.745996545895
fermion -59.8 up 48.2061018040577 32.3540932772457
hadron -58.8 up 45.7273709350409 49.3416967823464
fermion 37.4 down 56.3558007512557 49.2986086218988
fermion 27.3 strange 42.5841163699744 27.7380825936729
hadron -30.9 charm 55.8712520356561 48.8354896824984
gluon -50.7 charm 55.7653589073072 75.0774286670466
fermion 55.9 up 54.7650651197307 14.5309575672211
hadron -0.7 strange 52.4278393391946 57.3628658019019
fermion 9.2 strange 44.9635353475371 46.6076614109793
boson 39.2 strange 42.2458609951 53.0090730729893
gluon 49.7 strange 51.6243333994948 50.4435585053278
fermion -47.3 up 63.0140001130101 62.4240221221207
gluon 65.7 charm 56.33237966977 53.4471311598545
fermion 52.4 strange 54.2205617493215 41.7839724760944
gluon -5.4 up 47.0519239004968 46.5768621907715
gluon -52.5 strange 47.7518770025984 55.4051526841015
gluon 67.1 strange 53.4843735737042 68.0250231277522
fermion -16.2 down 52.1205304390292 55.2920112085489
boson 46.8 up 51.276227002679 45.1069559008029
gluon 66.9 charm 50.7532034909299 64.0182402251766
gluon 29 charm 47.5248695966148 79.5571079806084
fermion -0.7 charm 38.0793166558352 39.6349788697269
hadron 39.7 down 57.1030209611769 44.7523428707955
fermion -40.9 strange 43.6316637106641 35.214465929147
boson 14.2 up 49.0973880684785 69.147410565381
hadron 25.9 down 50.1056679111964 76.3283998358568
fermion 60.1 charm 53.7592861048028 39.0657066403678
hadron 19.7 charm 54.3455205162285 65.7237096827604
fermion -2.6 strange 50.7531984122059 29.6184025094328
boson -4 up 52.0821526080828 28.9701175769259
fermion 55.4 charm 33.078496148503 36.0978669061834
hadron -19 down 55.4809106153953 74.0487026703856
boson -36.3 down 52.0914564774252 44.5590109415752
boson 53.2 down 46.8435973300727 42.7609946916928
boson 69.1 up 51.6196894503 39.0053782058228
fermion 8.5 up 47.7665809325715 21.7746087002248
gluon -54.4 up 49.1628038109625 59.9391656400408
boson -33.1 up 55.6245628362478 41.99363173879
fermion -17.3 strange 50.1050322300901 9.3268173465819
gluon -1 up 49.937531614614 94.564105676134
gluon -44.8 charm 44.6635752018525 63.2145716993123
gluon -31.6 down 44.5197802540397 70.2362034635146
gluon 20.6 up 45.0176379503667 82.0254279524731
hadron 9.8 strange 50.3402932988515 48.3635874585774
boson 34.1 strange 48.8824398477437 40.7819317859702
boson -4.8 up 51.3485767705133 58.217066495069
boson -20.8 down 51.7662337104674 91.1270002287031
boson 6.2 down 54.4216180121494 23.8819524011189
hadron -32.1 up 61.1219284141772 67.490110314736
gluon 35.1 up 46.8068920450848 58.49665332862
gluon -45.7 up 46.6457710588944 55.1554939114112
boson 29.6 strange 38.5228134104421 40.4129738644114
