temperature died
99.21 0
-24.62 1
-18.05 1
23.11 0
52.51 0
61.07 0
98.04 0
-29.18 1
-5.27 1
7.62 0
107 1
37.33 0
80.94 0
-10.01 1
42.55 0
45.01 0
-10.9 1
19.32 0
97.19 0
96.86 0
-8.71 1
86.04 0
59.84 0
96.25 0
55.97 0
92.97 0
9.99 0
37.39 0
-15.3 0
41.38 0
42.88 0
2.32 0
42.48 0
-26.92 1
82.54 0
-14.22 1
69.66 0
69.67 0
-16.54 1
70.72 0
-16.67 1
76.58 1
29.71 1
91.47 1
31.44 0
87.53 0
37.58 0
40 0
2.99 1
97.63 1
22.53 1
-6.1 0
29.84 0
76.31 0
-2.11 1
13.88 0
105.6 0
39.85 0
12.69 0
80.08 0
41.28 0
-29.1 1
47.64 0
77.13 0
80.11 0
92.92 0
44.98 0
51.38 0
21.43 0
30.5 0
54.03 0
-28.07 1
7.17 0
16.64 0
26.88 0
-25.98 1
61.84 0
38.72 0
65.16 0
10.24 0
0.78 0
14.18 0
10.08 0
-0.07 1
-21.8 1
91.45 0
93.52 0
93.95 0
99.72 1
80.79 0
89.71 0
83.08 0
88.39 0
-12.27 1
-8.16 1
76.14 0
103.39 1
32.78 0
68.25 0
56.34 0
49.03 0
-18.27 1
67.79 0
59.12 0
1.36 0
36.93 0
108.26 0
12.06 1
-10.7 1
-19.37 0
70.17 0
47.31 0
38.25 0
92.8 1
51.19 0
5.93 1
69.91 0
97.86 0
30.5 0
1.29 1
62.8 0
15.2 0
49.85 0
-26.05 1
62.74 0
16.72 1
-13.25 1
99.72 0
1.14 1
65.73 0
16.59 0
37.52 0
7.65 0
-11.77 1
12.02 0
49.91 0
28.24 0
6.35 0
-0.13 1
83.11 0
-9.5 1
12.08 0
55.14 0
56.81 0
60.52 0
78.93 0
65.28 0
36.19 0
75.8 0
75.54 0
97.44 1
92.53 0
71.78 0
-13.7 1
13.67 0
-2.76 0
-23.51 1
-22.85 1
22.14 1
77.35 0
43.16 0
43.37 0
89.43 0
106.97 1
91.66 1
82.57 0
78.38 0
89.27 0
82.71 0
0.38 0
83.76 1
60.91 0
92.05 1
-6.58 0
-17.22 1
41.29 1
4.83 1
92.56 0
27.92 0
23.7 0
-22.05 1
-19.11 0
-15.67 1
35.75 0
-8.59 1
78.39 1
39.61 0
33.49 0
-19.77 1
10.75 0
38.1 0
33.05 0
-4.27 0
20.17 0
-13.43 1
10.24 0
100.02 1
22.02 0
-25.73 1
-29.37 1
90.34 0
72.24 0
42.05 0
17.18 0
87.63 0
51.8 0
27.95 0
95.15 1
-7.93 0
23.92 0
39.36 0
12.42 0
82.06 0
25.49 0
108.46 0
-18.97 0
17.7 1
40.22 0
48.51 0
9.37 1
105.19 0
49.59 0
95.54 0
66.91 0
94.43 0
0.32 0
67.07 0
10.71 0
90.9 0
6.07 0
96.74 1
75.27 0
33.53 0
5.68 1
46.48 0
56.73 0
-14.23 1
102.4 0
-10.93 1
47.25 0
101.95 1
81.89 0
24.59 0
88.93 1
67.7 0
-5.86 1
72.66 0
38.18 0
-18.58 1
60.58 0
104.93 1
-10.49 0
-2.68 1
4.39 1
90.38 1
87.74 0
6.31 0
-0.71 0
91.1 0
52.92 0
64.44 0
60.79 0
52.63 0
49.11 0
-16.52 0
44.13 0
-5.74 0
11.93 0
93.19 0
95.42 0
72.92 0
19.74 0
71.19 0
71.46 0
-19.61 1
52.85 0
18.1 0
59.35 0
94.34 0
44 0
71.65 0
64.68 0
87.52 0
1.78 0
80.71 0
95.73 0
34.41 0
33.58 0
-4.52 0
26.32 0
7.88 0
41.98 1
-13.44 1
77.14 0
-18.3 1
53.79 0
21.17 0
33.41 0
1.18 0
12.08 0
64.87 0
-2.2 1
7.83 0
56.16 0
108.73 1
40.49 0
61.45 0
72.21 0
40.08 0
-11.74 1
105.17 0
25.49 0
57.73 0
-20.9 1
-18.11 0
-1.05 0
74.22 1
12.25 0
30.78 0
75.98 0
10.73 0
50.66 0
5.1 0
76.56 0
-5.09 1
6.75 0
34.28 0
81.01 0
-11.96 1
1.7 1
-11.67 1
-9.73 1
-23.92 1
6.27 0
103.21 1
-21.94 1
11.94 1
3.65 0
10.37 0
24.39 0
80.13 1
-18.85 0
-12 1
96.46 0
23.18 1
17.22 0
2.01 1
13.3 1
-15.82 0
47.21 0
58.75 0
92.41 1
7.48 0
-20.44 1
23.2 0
102.31 0
14.34 0
-21.4 0
58.19 0
88.11 0
73.01 0
-7.44 1
2.93 0
93.24 0
11.43 1
41.78 0
9.49 0
84.08 0
-17.4 1
106.19 0
-17.88 1
82.69 0
8.3 0
99.32 0
37 0
-5.21 0
78.42 1
24.82 0
56.14 0
40.9 0
63.03 0
24.14 0
53.32 0
21.53 1
-29.96 1
10.88 0
41.99 0
5.91 0
-3.64 1
51.57 0
-9.94 0
101.47 0
2.41 0
17.58 1
72.29 0
85.15 1
94.02 0
21.79 0
64.36 0
61.5 0
100.35 0
-16.18 0
56.72 0
71.24 0
71.44 0
109.27 0
77.54 0
99.18 1
104.85 1
82.3 0
21.05 0
-13.88 1
49.04 0
-14.3 1
40.62 0
-29.43 1
57.64 0
80.49 0
-6.75 1
-28.37 1
10.04 0
-24.76 1
54.31 0
43 0
9.42 1
51.03 0
3.03 1
5.64 1
106.35 0
2.29 1
8.75 0
36.43 0
32.58 0
-4.73 1
75.64 0
39.72 0
86.41 1
38.92 0
35.31 0
-26.43 1
91.97 1
99.87 0
-27.69 1
16.23 0
100.24 1
-18.33 0
100.53 0
89.43 0
109.69 1
72.98 0
10.13 0
14.25 0
21.87 0
-21.15 0
33.79 0
-1.46 0
-7.42 1
56.87 0
42.24 0
-15.59 1
-8.63 0
28.17 0
42.33 0
74.17 0
-14.09 1
19.31 0
-3.92 0
43.59 0
64.38 0
27.93 0
-6.05 1
-24 1
-16.09 1
42.01 0
37.72 0
58.58 0
107.37 0
-17.3 1
44.42 0
91.03 0
83.61 0
-18.36 1
9.64 1
6.76 1
25.12 0
37.79 0
106.32 0
71.54 0
95.39 0
-14.89 1
-23.59 1
69.56 0
28.74 0
50.75 0
73.2 0
-3.33 1
85.55 0
71.65 0
31.65 0
1.74 0
34.27 0
13.61 0
57.74 0
41.48 0
-9.52 1
45.59 0
-16.79 1
88.72 0
87.72 1
3.67 0
-20.92 1
43.62 0
-16.04 1
66.64 0
107.73 1
93.18 0
62.7 0
98.18 0
-21.74 1
1.93 0
-10.88 0
106.24 0
74.76 0
-6.23 1
-12.43 0
-6.72 1
65.97 0
48.3 0
-0.94 0
101.67 0
-5.12 1
104.2 0
-23.08 1
13.21 0
35.47 0
71.19 0
82.07 0
38.7 0
38.25 0
55.91 0
-6.64 0
13.58 0
69.57 0
45.03 0
22.03 0
16.4 0
60.63 0
-27.58 1
37.42 0
38.01 0
-22.03 0
-13.98 1
58.2 0
-13.07 0
15.03 0
-9.57 1
-28.12 1
-4.12 0
16.66 0
24.69 0
-14.87 0
14.56 1
-14.57 0
77.35 0
42.63 0
41.42 0
42.75 0
29.84 0
73.01 0
-6.46 1
79.14 1
59.59 0
-15.51 1
76.9 1
-24.04 1
60.55 0
100.89 1
-7.45 0
62.9 0
14.8 1
-22.46 1
8.73 0
22.71 0
-26.26 1
8.42 0
39.03 0
16.52 0
19.52 0
82.29 0
41.09 0
-20.54 1
-25.41 1
28.16 0
