eggs temperature humidity
15 89 55.2
14 70.1 48.9
14 64.1 52.6
13 84.3 50.6
17 44.7 65.6
14 74.6 48.4
17 74.1 64.9
14 84.2 43.8
13 50 35.8
16 78.6 55.4
16 82.1 45.3
20 63 75.4
16 101.8 45.1
15 74.6 43.8
21 98.5 82.2
14 67.4 38.9
10 78.6 42
18 59.5 58.7
14 97.7 59.7
15 68.5 55.3
16 89.7 55.2
16 76.9 40.6
15 73 58.5
12 95.4 46.9
14 77.2 56.5
13 53.4 57.7
17 56.2 65.9
12 65.5 42.7
16 100.5 43.5
16 43.8 48.8
17 70.9 46.1
12 105.5 44.8
15 78.3 48.3
15 89.7 55.9
16 97.4 63.6
15 86.2 59.7
12 81 39.1
16 49 44.8
12 43.4 37.6
16 55 47.1
15 72.5 47.5
14 70 38.6
17 91.2 48.6
16 74.1 67.5
13 59.5 43.6
16 64.3 57.9
15 43.4 60.2
11 94.6 33.1
14 46.8 55.8
16 86.7 44.4
13 89.7 39.7
12 91.6 49.5
12 74.9 38.1
14 59.6 54.8
15 86.8 47.3
15 74.6 50.5
16 61 54.9
15 74.7 48.2
18 84.3 44.7
17 73.5 56.6
14 83.4 43.5
17 70.8 49.3
12 81.9 29.5
16 64.2 49.9
19 58.9 69.5
15 62.9 40.9
15 92.9 51.1
19 67.3 72.1
16 65.5 60.4
16 83.7 53.2
14 67.7 44.4
12 109.8 47.4
13 81 44.9
15 98 50.4
18 80.1 66.1
15 45.9 47.9
16 91 50.7
15 80.5 61.5
15 56.5 53.5
14 80.5 37.3
15 86.8 59.4
15 58.4 48.8
11 52.6 39.1
11 83.6 28.1
16 60.5 43
20 83.6 77.4
16 87.4 58.2
15 84.7 60.1
14 75 43.1
13 52 37
14 77.4 53.3
12 74.1 38
16 65.9 48
13 69.5 49.5
13 56.2 53.6
15 75 49.6
11 42.4 42.9
13 67.3 43
15 78.9 46.8
12 46.3 43.6
21 59.7 67.9
16 65.9 56.2
18 88.6 64.8
16 102.9 63.3
13 70.6 45.8
14 55.1 46.3
16 72.8 58.2
13 69.2 42.1
18 75.6 65.6
14 63.4 33.3
14 82.2 44.1
12 50 48.8
11 54.9 42.9
14 57.2 38.9
12 83.9 43
13 75.8 46.3
11 60.7 40
16 63.2 63.3
15 93.4 57.1
12 58 29.3
13 88.7 35.4
15 96.1 39.5
17 53.2 56
14 106.7 46.7
12 68.7 41.7
16 94.7 66.7
16 69.9 54.1
18 48.9 57.7
15 57.8 53.7
17 63.3 45.1
