"ants" "echo" "density"
1508 0.96 0.14
12 0.22 0.02
26 0.07 0.27
7034 0.87 0.64
166 0.56 0.08
31881 0.94 0.94
15735 0.77 0.97
750 0.43 0.61
32 0.18 0.21
287 0.39 0.43
33 0.07 0.3
479 0.64 0.26
49 0.08 0.37
99 0.12 0.5
2349 0.96 0.24
594 0.83 0.05
434 0.15 0.81
143 0.31 0.33
23350 1 0.79
25866 0.9 0.93
80 0.12 0.49
4318 0.7 0.74
74 0.29 0.21
5160 0.84 0.59
76 0.33 0.21
155 0.61 0.03
484 0.8 0.04
6215 0.74 0.78
2368 0.46 0.87
132 0.02 0.73
1804 0.75 0.44
649 0.48 0.53
318 0.75 0.01
78 0.09 0.47
426 0.7 0.16
2563 0.49 0.86
3115 0.53 0.86
4822 0.76 0.68
189 0.52 0.17
1106 0.32 0.85
34 0.3 0.06
845 0.8 0.19
110 0.48 0.1
30 0.24 0.04
164 0.32 0.37
919 0.38 0.74
73 0.16 0.38
310 0.68 0.11
6731 0.64 0.92
13 0.02 0.17
