drunk speed braking turn accelerate lights time blinker
1 43.88 54.38 14.6 12.07 Off Day 90
0 41.6 17.57 -18.6 21.85 Off Night 0
1 38.37 47.49 8.2 15.92 On Night 25
0 37.82 6.26 24 15.42 On Day 0
1 43.04 36.4 5.3 13.25 On Night 59
1 39.3 2.35 9 13.06 Off Day 28
1 35.88 15.02 -0.5 19.26 On Night 41
0 36.66 10.14 -14.1 23.25 Off Day 0
1 39.11 54.06 14.4 18.7 Off Night 95
1 48.32 43.8 5.4 24.93 Off Day 66
0 42.61 24.79 3.6 15.88 On Day 0
1 39.69 17.55 11.4 8.75 Off Night 36
1 39.92 110.9 -14.4 12.82 On Day 78
1 36.22 139.12 0.5 8.92 Off Night 22
1 37.14 10.1 1.5 10.85 Off Day 69
1 37.06 8.22 -19.9 8.05 Off Day 42
1 38.66 27.12 13.5 17.84 Off Day 71
1 41.55 16.06 3.7 16.84 On Day 26
1 35.17 20.25 -6.1 5.63 Off Night 64
1 39.26 17.35 -6.7 15.5 On Night 51
0 38.35 32.19 -9.1 12.07 Off Day 4
1 43.16 41.03 -14.2 11.15 On Night 49
1 39.61 6.38 -7.7 14.45 On Night 18
1 44.19 9.59 17.1 10.25 On Night 47
1 45.1 11.45 18.5 21.75 Off Day 81
1 39.64 29.09 -6.8 18.88 Off Day 90
1 38.9 59.72 -10.3 8.71 On Night 86
1 45 11.13 1.4 19.38 On Night 48
0 39.42 94.21 11.3 13.02 Off Day 3
0 38.91 1.96 1.6 10.38 Off Day 0
1 39.28 72.27 -3.7 11.62 Off Night 87
1 36.22 59.78 22.8 11.16 On Day 38
0 39.84 63.28 5.9 11.87 On Day 0
1 41.15 19.91 -4.4 21.62 Off Day 10
1 42.1 10.75 7.3 18.45 Off Night 21
1 33.83 43.67 -0.2 9.01 On Day 40
1 33.89 32.71 -19.4 19.55 Off Night 72
1 34.3 34.72 -10.3 20.4 Off Night 9
0 39.6 31.26 -20 8.43 On Day 4
1 32.09 9.17 -0.4 10.88 Off Day 88
1 46.93 0.78 3.3 21.59 Off Day 32
1 34.23 11.65 10.3 22.73 On Night 68
0 35.78 48.86 -39.3 9.82 Off Night 0
1 39.06 64.04 -0.7 23.98 Off Day 81
1 45.4 33.42 -12.8 19.76 On Night 70
1 44.08 72.47 -4.4 19.89 On Day 70
1 39.99 14.67 24.1 15.32 Off Day 27
1 47.16 10.09 -22.6 13.51 On Night 55
0 36.37 64.82 -7.2 21.45 On Night 0
1 37.38 10.65 -26.6 15.57 Off Night 79
1 44.37 14.18 -1.6 22.74 Off Night 29
1 44.69 33.26 -39.1 6.53 Off Day 80
1 33.73 19.95 -33.9 21.77 On Night 98
1 36.43 82.7 -7.6 10.81 On Day 49
0 42.03 28.89 -7.1 21.21 Off Night 0
0 41.59 71.15 10.9 20.2 On Day 2
1 43.66 90.68 4.9 5.17 On Day 56
1 31.29 4.3 17.5 13.75 On Night 48
0 41.33 93.34 -22.3 9.13 On Day 12
0 40.45 30.61 17.1 12.64 Off Night 0
1 41.53 71.27 12.7 11.92 Off Night 90
1 39.59 35.73 -2.7 18 Off Day 48
1 40.8 25.3 16.3 23.87 Off Day 31
1 38.31 73.2 18.9 13.24 Off Day 56
1 45.22 9.43 13.7 7.79 Off Day 30
1 30.87 2.29 -15.2 17.73 Off Day 29
0 43.21 141.32 2 17.19 On Night 0
0 28.89 21.74 -3 9.04 Off Night 0
0 35.4 22.31 17 7.81 Off Day 7
0 36.72 44.91 -4.9 19.3 On Day 0
0 39.03 40.18 15.3 20.3 On Day 0
1 39.68 27.31 -11.8 22.08 Off Day 25
1 41.73 39.1 39.5 20.77 On Day 32
1 40.13 18.05 13.1 14.83 Off Day 98
0 39.86 30.29 -2.9 17.67 On Night 0
1 42 17.84 16.7 24.17 On Night 14
0 41.75 26.64 8.3 8.36 On Night 0
1 41.59 23.29 -7.2 9.94 Off Day 8
1 41.45 8.58 -0.8 13.23 Off Night 14
0 40.22 56.29 -36 14.74 On Night 0
1 40.77 78.87 4.9 18.98 On Day 37
1 36.62 1.2 13.5 20.82 Off Night 62
1 37.76 6.2 25.4 9.98 Off Night 26
1 44.91 19.58 -26.2 21.29 Off Night 73
1 40.15 24.07 1.2 17.53 Off Night 70
1 44.51 7.79 -4.3 22.87 On Night 20
1 36.14 65.11 2.8 6.96 On Night 16
1 33.06 68.36 -15.4 5.86 On Day 51
1 44 47.7 11.6 12.62 On Day 85
1 39.53 36.15 -10.4 23.36 On Day 29
0 31.3 9.9 -2.2 16.86 Off Night 0
1 36.95 16.54 5.7 9.6 Off Day 69
1 42.28 51.64 26.4 9.74 Off Day 30
1 36.88 10.53 -16.6 19.18 Off Day 20
1 36.82 8.14 -10.1 10.54 On Day 39
1 44.57 30.38 -7.2 18.16 On Day 23
1 39.84 40.73 17 18.97 On Day 22
1 38.88 37.52 -7.5 11.91 On Day 68
1 36.62 40.23 -21.9 20.38 On Night 31
1 42.65 25.92 10.9 12.78 On Night 27
0 44.3 11.37 17.1 20.76 On Night 0
0 39.24 59.74 5.5 22.33 Off Night 0
1 32.28 21.14 -18.4 9.7 On Day 35
0 44.42 17.55 15.3 16.07 Off Night 0
1 41.05 11.05 45.6 17.66 Off Day 48
1 46.77 25.6 -10.1 13.18 On Night 97
0 41.45 71.76 3.8 15.72 On Day 0
1 39.61 4.32 -22.2 21.87 On Night 58
0 39 13.59 13.8 7.6 On Night 0
0 42.07 12.1 11.2 7.08 Off Night 0
1 39.01 11.51 1.4 18.86 On Night 83
1 43.29 38.23 4.9 5.75 On Day 86
1 42.46 12.75 7.9 11.84 Off Day 18
1 38.21 16.97 -42.2 11.31 On Day 77
0 39.76 31.85 3.8 18.86 On Night 0
0 37.04 9.7 11.2 19.72 Off Day 0
1 43.22 38.96 -14 6.29 On Day 52
1 36.18 28.21 27.9 13.54 Off Night 9
1 40.16 10.74 -24.8 5.6 On Day 42
1 35.25 11.77 -10.6 11.07 On Night 46
1 34.31 55.44 -13 8.56 On Night 94
1 41.27 48.97 2.9 9.89 Off Day 35
1 40.22 30.8 11.5 14.58 Off Night 80
1 39.63 17.56 -10.3 12.01 Off Day 98
1 34.35 16.04 -15.3 22.4 On Night 48
1 40.43 41.9 15.8 7.65 Off Night 16
1 45.56 78.83 0.5 20.27 Off Night 93
1 42.81 18.28 -19.8 17.1 On Day 94
1 51.03 51.5 -9.1 6.62 Off Night 19
0 41.38 65.79 18.1 24.3 On Night 0
1 45.21 19.31 -6.7 11.12 On Night 47
1 41.89 52.79 -2.4 18.75 Off Day 66
1 39.64 6.3 -28.5 14.65 Off Day 33
1 44.76 2.07 -11.1 22.01 Off Day 38
1 42.43 11.26 1.2 6.08 Off Day 77
1 34.27 18.17 -8.9 5.9 On Night 10
1 41.56 18.25 10.6 11.16 Off Day 22
0 42.09 4.9 19.6 9.99 Off Night 0
1 45.28 6.04 -8.5 6.19 On Night 34
1 45.11 22.74 17.2 20.65 Off Night 89
1 40.44 8.91 -4.5 8.97 Off Day 37
1 42.18 59.82 3.7 15.04 On Day 55
0 40.92 8.88 -6.4 13.4 Off Night 0
1 41.68 7.96 -44.6 5.44 Off Night 38
1 47.19 3.69 8.8 11.22 Off Night 27
1 45.28 5.75 7.2 11.37 On Night 39
1 41.09 6.03 19.2 21.28 Off Day 25
1 41.65 63.88 10.8 5.62 Off Night 81
0 41.39 72.44 2.3 8.75 On Night 13
1 41.75 19.33 -2.6 11.8 Off Day 69
0 39.38 32.55 -25 22.61 On Day 0
1 44.56 8.35 -3.1 17.66 Off Night 67
1 40.89 13.74 -11 22.15 Off Day 71
1 36.68 23.2 6.7 11.31 On Night 92
