Theory Applied Social English Coding
2.7 21.7 75.2 21.6 18.9
15.3 84.8 5.6 52.1 4.6
11.7 66.7 26.8 32.7 18
14.4 47.1 34 37.6 0.1
22.7 35.9 71 38 47.7
12.9 50.5 62.2 48.2 34.9
8.2 58.3 85.5 22.9 15.9
0.8 40.1 98.8 80.7 1.5
8.7 56.2 62 48.4 17.9
13 79.9 16.4 36.8 17
4.9 50.2 78.7 50 32.7
55.8 4.5 23.1 23.8 55.8
68.9 16.2 5.6 4.9 65.2
11 31.7 86.7 58.5 4.3
24.5 68.8 23.4 53.2 6.2
8.3 24.5 68.8 65.5 0.5
12.1 87.7 30.7 45.9 20.1
76.3 24.6 11.5 0.7 70.6
52.7 45.2 60.2 56 6.1
1.2 65.2 15.9 40 2.7
10.1 43.3 71.2 28.4 1.9
88.7 11.8 25.6 35 63.1
9.7 58.3 86.8 41.7 6.2
65.5 0.4 0.3 1.9 55.4
97.9 11.5 0.8 46 49.6
73.9 16 18.4 26.6 47.7
90.4 27.1 49.8 6.4 91.8
1.2 71.7 100 48.4 39.6
91.9 30.2 19.8 17.3 77.9
22.6 55 24.9 69.6 21.8
50.4 2.3 15.3 21.8 87.8
79.9 23.1 13.9 13.6 73.9
33 91.6 8.6 31 2.9
88.7 28.1 4.9 3.3 58
15.1 86.9 60.5 40.9 21
8.5 35.4 87.3 45.9 7.1
39.3 75.5 14.6 37.7 3.1
10.9 34.3 86.5 37.9 5.2
100 55.1 11.6 34.7 71.4
18.5 68.9 25.4 24.2 4.5
6.6 80.8 2.7 43.1 3.4
75.5 16.3 21.7 24.8 48.7
11.3 7.8 62.7 53.9 0.8
9.8 50.8 59.7 51 19.5
8.1 67.4 17.4 52.8 2.5
2.3 69.2 16.7 24.6 11.8
6.5 38.7 67.7 47.9 17.1
66.8 35.3 15.2 19.6 60.1
25.2 99.3 24.9 32 27
6.3 35.4 57.8 38.9 19
