gym gender age weight credit
0 Female 30.7 160.15 666
164 Male 23.9 145.66 385
385 Male 48.6 153.95 828
302 Female 49.8 135.58 647
252 Male 20 173.56 615
0 Male 18.5 150.84 484
0 Male 34.4 194.7 472
312 Female 53.4 175.65 638
0 Female 41.7 170.25 431
0 Female 52 189.81 355
0 Male 38.3 160.64 689
241 Male 51.8 185.34 605
225 Male 46.7 163.2 463
274 Male 24.1 148.93 583
0 Female 47 168.77 331
0 Male 35.5 179.51 797
314 Male 24.4 221.69 730
0 Male 40.5 154.25 355
396 Female 18 209.07 813
0 Male 18.1 155.68 827
0 Male 38.1 157.82 620
260 Female 36.8 163.37 461
339 Male 25.1 188.67 751
260 Male 50.3 152.8 600
354 Female 53.7 168.49 689
0 Male 23.1 159.18 685
334 Male 41.4 181.72 787
323 Female 21.3 136.53 756
0 Female 48.7 204.67 466
0 Female 26.9 145.77 525
357 Female 49.1 166.7 701
0 Female 24.2 164.7 832
323 Male 54.1 155.75 759
195 Male 28.5 176.7 450
356 Male 25.2 148.34 848
0 Male 48.2 141.74 783
0 Female 53.4 153.02 510
413 Female 30.8 159.68 833
355 Female 32.9 164.5 683
395 Female 37.3 160.63 814
0 Male 28.9 154.19 370
0 Male 21.3 205.87 593
363 Male 48.1 129.2 824
346 Female 52.5 162.07 739
0 Female 25.5 170.55 725
389 Female 22.6 176.21 773
392 Female 29.1 156.6 826
0 Female 31.4 191.17 438
0 Female 27.4 182.95 652
346 Male 52.1 143 738
0 Male 54 192.05 301
0 Female 47.3 152.57 586
201 Male 49.1 142.21 409
304 Female 25.6 135.74 530
213 Female 22.2 164.47 308
325 Female 24.6 152.57 759
308 Male 32.5 124.95 698
291 Female 28 151.07 595
0 Female 47 188.47 517
365 Female 20.1 158.5 761
0 Female 24.3 162.72 524
0 Female 27.9 207.48 430
311 Female 22.2 161.16 520
206 Male 25.6 166.63 536
337 Female 53.2 131.18 709
0 Male 27.3 162.36 422
368 Female 52.1 201.63 797
0 Male 26.9 197.18 787
0 Female 40.4 185.78 354
255 Female 50.9 152.61 533
0 Female 33.3 156.53 770
0 Female 35.1 202.76 431
0 Male 24 192.78 516
291 Female 20.4 160.76 535
363 Female 54 145.85 645
0 Male 54.4 164.49 706
0 Female 52.8 214.35 661
0 Male 31.5 214.66 458
256 Male 29.9 168.37 604
269 Female 27 165.05 491
349 Female 45.8 164.16 698
336 Female 22.1 153.66 687
0 Female 21.6 189.61 370
0 Female 49.2 173.13 673
191 Female 23.9 162.56 365
271 Female 23.8 150.14 556
0 Male 53.5 205.58 605
0 Female 54.1 199.54 593
0 Female 40.6 202.48 509
218 Female 41.7 170.16 444
0 Female 44.5 184.92 570
0 Female 44.2 235.35 405
248 Female 45 155 483
220 Male 41.4 168.53 484
0 Male 52.9 147.03 542
196 Male 39.3 170.52 470
393 Female 24 165.22 838
0 Female 36.2 259.94 505
280 Male 32.7 195.3 646
0 Male 32.9 120 599
0 Female 20.9 154.99 572
0 Male 41.9 172.61 646
353 Female 30.3 186.45 687
0 Male 30.6 173.28 576
0 Male 51.4 162.36 798
297 Male 27.1 170.63 716
348 Female 51.8 146.47 713
262 Male 28.3 146.24 549
234 Female 24.9 174.57 418
302 Female 36.5 175.34 573
167 Male 46.7 160.91 383
248 Male 35.8 153.47 552
294 Male 19.7 213.04 726
306 Female 48.8 163.4 642
155 Male 31.9 156.11 370
209 Male 27.9 150.34 441
0 Female 39.9 176.01 755
0 Male 46.1 213.11 359
0 Female 53.9 200.33 677
235 Male 53 136.58 557
0 Female 24 159.19 687
0 Female 36.4 215.24 310
213 Female 43.8 133 400
0 Female 24.4 203.85 829
0 Male 30.8 194.16 501
316 Male 42 161.75 759
182 Female 30.6 146.85 344
207 Male 33.7 204.03 407
0 Female 36.1 163.55 480
347 Male 24.7 153.14 844
0 Male 36.1 176 502
0 Male 36.2 159.62 304
0 Male 32.5 157.8 840
172 Male 30.4 148.35 437
0 Male 43.4 142.62 378
0 Female 46.5 151.5 351
255 Female 35.1 143.5 463
421 Female 28.3 159.51 792
305 Female 29.9 132.43 615
0 Female 48 192.83 841
331 Female 37.5 150.56 709
0 Female 36.2 167.13 647
261 Female 49.6 140.54 571
0 Female 31.4 196.91 310
0 Female 19.5 167.84 652
398 Female 39.4 181.42 691
348 Male 45.3 157.32 807
0 Male 49 183.28 370
0 Female 40.3 158.91 649
0 Female 26.1 174.99 343
163 Male 43.1 126.9 348
277 Female 45.8 202.6 520
390 Female 48.2 186.02 748
0 Female 36.1 188.8 637
0 Male 27.3 167.57 539
196 Female 51.9 155.97 319
154 Male 30.9 137.52 350
135 Male 38.2 143.16 321
0 Male 47.5 181 786
325 Male 45.9 157.28 722
265 Female 26.2 142.63 458
0 Female 35.7 192.33 310
0 Male 55 168.67 524
253 Female 50.5 149.06 467
0 Female 48.8 192.52 692
358 Female 38.8 139.6 682
0 Female 27.4 226.54 650
231 Male 41.8 166.75 489
235 Female 50 147.9 450
232 Male 48.7 160.06 527
344 Female 43.5 158.71 715
0 Male 37 152.36 335
218 Female 48.3 128.03 342
0 Female 44.3 163.58 320
297 Female 28.8 176.88 542
0 Male 33.4 159.15 659
314 Male 51.7 196.18 768
151 Male 51.2 150.93 371
198 Female 38.3 162.72 343
0 Male 54 163.46 639
0 Female 42.8 166.76 423
156 Male 27.6 172.22 369
0 Male 38.5 158.75 415
167 Male 43.3 182.92 339
325 Female 18.4 144.69 577
0 Male 24.9 201.58 681
0 Female 48.7 222.39 479
192 Male 27.8 150.53 443
0 Male 44.1 148.53 742
441 Female 21.9 131.36 810
337 Female 33.7 151.06 622
292 Male 33.6 144.88 735
292 Male 25.7 143.01 691
368 Female 45.9 177.78 821
0 Male 26.4 191.67 555
259 Female 41.4 149.66 502
224 Male 44.7 156.68 563
0 Female 18.6 162.68 565
0 Female 38.8 244.63 785
233 Female 35.1 155.78 384
0 Female 33.5 145.28 779
381 Female 23.4 175.52 731
0 Male 36.2 151.65 828
0 Female 45.4 154.88 824
277 Male 47.7 152.97 641
249 Male 19.7 196.18 632
0 Male 46.4 202.57 474
346 Male 22.3 140.31 783
327 Male 19.7 152.89 784
277 Male 20.8 161.64 664
367 Female 40.8 157.36 748
0 Female 54.5 165.01 316
0 Male 34.9 163.56 758
424 Female 41.7 136.58 839
346 Female 47.7 194.39 795
303 Male 37.8 137.88 751
152 Male 48.3 145.52 361
293 Female 51.4 152.24 592
245 Male 54.6 148.27 573
275 Male 54.7 135.63 691
290 Male 33.2 195.31 707
0 Male 37.7 199.59 576
0 Male 24.1 222.55 586
369 Female 39.9 177.79 692
285 Female 31.3 174.77 534
141 Male 46 162.89 326
0 Female 20.7 164.15 786
0 Male 27.8 167.61 648
425 Female 24.1 150.09 844
340 Female 40.1 163.19 685
320 Male 27.4 136.16 770
277 Male 20.1 167.09 598
207 Female 42.9 188.23 439
266 Female 20.5 143.04 444
328 Female 21.4 149.92 640
288 Male 19.7 129.64 647
0 Female 34.5 138.65 381
401 Female 30.1 150.78 816
0 Female 50.3 173.63 628
304 Female 36.7 158.04 575
0 Female 30.6 169.88 390
280 Female 38.6 175.22 489
303 Female 53 154.17 635
0 Female 37.4 175.83 317
0 Male 34.1 159.32 665
279 Male 41 138.73 696
275 Male 43.2 122.47 603
0 Male 48 165.24 509
0 Male 25.6 255.5 358
0 Female 25.2 194.2 398
247 Female 54.3 152.98 524
237 Female 26.8 153.73 511
0 Female 43.8 189.77 475
209 Female 25.9 250.5 354
0 Male 21.9 169.12 470
305 Female 30.2 180.34 632
294 Male 43.6 130.81 669
0 Male 25.8 160.83 804
267 Male 27.9 192.91 592
279 Male 26.1 176.63 759
0 Female 47.2 195.82 772
164 Male 49.2 144.08 318
0 Female 25 186.54 673
297 Male 33.4 166.98 700
286 Male 43.4 141.74 699
0 Female 34.7 139.89 316
0 Male 35.1 175.1 351
0 Male 28.5 144.88 630
175 Female 40.1 161.09 306
224 Male 40 148.98 497
336 Male 50.9 161.03 816
187 Female 35.9 150.96 340
0 Male 51.5 153.87 797
159 Male 54.8 179.15 350
230 Female 18.4 145.94 375
218 Male 34.5 145.05 490
157 Male 27.3 170.96 344
239 Male 35.4 165.26 568
173 Female 30.5 163.65 313
157 Male 28.3 151.95 334
0 Female 40.6 183.26 774
262 Female 47.4 148.28 447
0 Male 18.5 196.68 830
0 Female 37.6 166.4 696
240 Male 45.5 163.32 569
360 Male 28 140.84 794
0 Male 35.9 150.83 744
0 Female 26.4 160.32 806
0 Female 45.7 169.87 341
0 Female 52.4 183.8 755
314 Male 34 160.03 693
0 Female 40 187.47 651
360 Male 26.6 161.51 831
0 Male 37.6 165.22 527
159 Male 28 179.19 328
345 Female 32.3 161.24 692
0 Male 53 182.04 464
281 Male 53.6 171.47 671
333 Female 24.7 149.6 573
313 Male 34.8 186.34 725
