y x1 x2
1 17.76 10.3
0 18.3 10.77
0 7.37 18.72
0 16.37 14.94
0 8.41 9.38
0 2.3 10.2
1 18.2 14.57
0 15.72 13.61
0 3.34 18.56
0 9.6 19.65
0 18.39 8.49
0 6.66 8.21
0 9.59 12.05
0 1.66 5.7
1 15.68 4.61
0 13.29 4.51
0 5.47 15.49
0 8.25 5.68
1 4.76 10.24
0 13.6 2.3
0 16.85 7.37
0 12.21 6.42
0 8.1 14.54
0 7.21 17.4
1 12.41 11.16
0 5.43 18.82
0 2.45 19.86
0 6.55 14.33
0 6.43 11.4
1 6.51 0.61
0 14.14 16.05
0 19.36 6.45
0 8.67 9.54
0 9.11 13.83
0 4.1 19.07
0 13.54 7.63
0 15.94 16.62
0 3.27 14.83
0 17.34 13.09
0 10.64 17.71
1 6.71 5.32
0 5.9 17.84
0 17.62 8.48
0 9.5 6.46
0 19.55 11.64
1 4.74 1.6
0 3.94 19.77
0 15.33 18.58
1 4.8 8.44
1 18.32 5.06
0 14.21 8.24
0 1.39 2.13
0 8.53 10.61
1 16.38 0.58
0 1.45 11.24
0 12.35 19.92
0 13.01 19.07
0 11.16 18.55
0 6.7 15.41
0 4.79 5.15
0 8.34 19.1
0 5.82 4.91
0 10.28 13.54
0 12.42 15.12
0 15.37 19.75
1 16.34 3.86
0 8.97 8.72
0 3.65 18.15
0 13.42 16.76
0 5.36 10.71
0 11.22 15.18
0 5.88 15.72
0 13.71 18.24
1 13.01 6.34
0 16.99 18.48
0 0.37 13.13
0 16.89 7.42
0 0.02 11.94
1 18.74 2.54
0 4.57 15.42
1 5.98 3.73
0 14.83 1.77
0 16.16 15.4
0 0.15 5.73
0 3.34 15.06
0 18.88 17.1
0 4.25 16.02
0 1.11 3.47
0 10.53 2.74
1 15.08 5.13
1 8.98 7.51
0 18.5 13.78
0 8.52 3.74
0 2.88 12.47
1 7.82 8.76
0 15.67 18.72
0 7.83 17.13
0 0.78 3.13
1 19.93 3.38
1 1.84 8.94
1 17.16 14.11
0 17.49 10.61
0 4.39 2.39
0 2.92 17.61
0 10.1 19.45
0 0.88 0.28
1 19.21 1.06
1 11.48 4.8
0 18.38 2.54
0 5.5 10.21
0 5.77 14.87
1 4.79 8.68
0 4.02 7.89
0 12.97 12.19
0 7.88 5.92
0 14.62 12.41
0 14.44 5.31
0 14 17.18
0 0.53 19.13
0 1.59 13.6
0 14.76 15.44
1 18.35 16.06
0 2.59 12.5
0 14.5 19.53
0 16.96 19.09
1 18.47 2.82
0 4.9 5.86
0 6.65 18.76
0 13.99 12.78
0 3.45 12.71
1 7.31 2.37
0 10.29 13.64
0 1.43 16.19
1 4.1 0.11
0 6.64 15.8
1 8.93 0.81
0 7.94 19.27
0 18.03 17.54
1 8.87 1.17
1 4.73 0.34
0 11.17 4.49
1 11.57 4.25
0 17.49 12.95
0 2.23 10.82
0 11.23 6.82
0 15.75 11.47
0 10.88 14.7
0 7.14 17.59
0 2.96 7.66
1 1.78 0.84
0 12.22 10.16
0 9.24 5.23
1 2.31 6.46
1 14.55 9.17
0 5.65 6.25
0 0.92 6.9
1 15.59 3.02
0 9.87 12.08
1 13.65 7.19
0 3.19 14.25
0 16.63 18.61
0 11.19 15.28
0 8.28 15.02
0 2.47 19.59
0 19.02 19.46
0 16.56 9.24
0 3.23 19.66
1 14.14 1.21
0 14.3 3.91
0 1.59 6.17
0 9.8 17.9
1 16.21 2.36
0 8.6 1.63
0 2.85 14.91
0 5.83 16.11
1 4.2 6.44
0 9.06 13.01
0 9.48 17.24
0 15.2 19.97
1 14.34 2.79
