I would like to remind you we decided this was fair game in class
velocity fall
19 1
5 0
5 0
16 1
3 0
3 0
14 1
30 1
22 1
10 1
15 1
5 1
11 1
5 0
11 1
15 1
2 0
12 1
28 1
29 1
6 1
6 0
13 1
23 1
13 1
18 1
9 1
18 1
26 1
0 0
28 1
2 0
19 1
27 1
26 1
24 1
6 1
31 1
18 1
31 1
26 1
28 1
26 1
25 1
3 0
6 0
8 1
23 1
5 0
29 1
21 1
4 0
34 1
27 1
15 1
3 1
5 1
21 1
1 0
11 1
34 1
9 1
11 1
34 1
34 1
0 0
13 1
19 1
25 1
17 1
26 1
33 1
27 1
22 1
11 1
7 1
33 1
19 1
15 1
3 0
26 1
33 1
17 1
33 1
8 1
4 0
13 1
13 1
31 1
14 1
6 1
11 1
21 1
21 1
7 0
30 1
9 1
8 1
5 0
10 1
21 1
31 1
1 0
22 1
3 0
34 1
12 1
27 1
16 1
2 0
25 1
27 1
31 1
31 1
17 1
19 1
23 1
26 1
29 1
32 1
5 0
24 1
26 1
4 1
25 1
9 1
18 1
22 1
0 0
14 1
24 1
6 1
32 1
30 1
33 1
9 1
17 1
11 1
23 1
21 1
23 1
28 1
27 1
9 1
8 1
17 1
1 0
6 1
19 1
4 1
32 1
27 1
20 1
33 1
34 1
26 1
11 1
29 1
34 1
8 1
4 1
4 0
1 0
14 1
24 1
11 1
28 1
16 1
30 1
34 1
17 1
16 1
20 1
21 1
23 1
20 1
6 1
28 1
32 1
26 1
26 1
31 1
19 1
3 0
2 0
28 1
23 1
7 1
22 1
19 1
12 1
26 1
1 0
12 1
23 1
1 0
23 1
34 1
17 1
33 1
20 1
0 0
16 1
10 1
11 1
27 1
15 1
17 1
16 1
6 0
14 1
21 1
10 1
26 1
32 1
8 1
13 1
1 0
15 1
23 1
5 1
1 0
0 0
14 1
24 1
27 1
18 1
28 1
29 1
12 1
19 1
22 1
16 1
6 1
28 1
18 1
9 1
24 1
27 1
26 1
26 1
19 1
11 1
15 1
24 1
19 1
21 1
28 1
20 1
23 1
30 1
29 1
12 1
14 1
26 1
19 1
19 1
28 1
18 1
6 1
14 1
35 1
17 1
19 1
17 1
14 1
11 1
2 0
15 1
20 1
21 1
29 1
24 1
3 0
4 1
24 1
32 1
24 1
7 1
33 1
17 1
25 1
26 1
34 1
24 1
5 1
34 1
24 1
22 1
9 1
19 1
3 0
9 1
24 1
13 1
3 0
22 1
18 1
22 1
15 1
10 1
23 1
11 1
5 0
34 1
16 1
4 0
24 1
28 1
5 0
4 0
2 0
11 1
24 1
26 1
5 0
16 1
27 1
1 0
35 1
24 1
7 1
1 0
3 0
29 1
22 1
27 1
8 1
9 1
33 1
17 1
22 1
34 1
12 1
12 1
13 1
1 0
16 1
22 1
32 1
5 0
17 1
14 1
19 1
3 1
25 1
5 0
14 1
10 1
25 1
14 1
17 1
5 1
21 1
6 0
1 0
31 1
5 0
32 1
32 1
22 1
5 1
3 0
23 1
11 1
10 1
32 1
17 1
13 1
9 1
28 1
13 1
9 1
13 1
28 1
10 1
2 0
30 1
4 0
17 1
25 1
19 1
22 1
17 1
34 1
20 1
16 1
13 1
11 1
5 0
17 1
4 0
5 1
9 1
27 1
13 1
27 1
24 1
16 1
21 1
