attacks hour users year accounts
67 5 314 9 119
27 21 331 6 69
44 9 348 3 120
68 3 274 8 8
70 6 267 9 40
48 19 267 8 37
25 21 334 2 70
35 12 350 4 39
51 9 305 8 59
49 15 267 7 51
26 14 317 1 20
22 21 339 3 17
42 17 342 6 33
44 2 308 1 74
46 7 264 0 66
54 10 272 6 40
32 6 343 6 40
50 15 317 8 40
41 4 339 6 21
48 19 281 9 65
30 16 288 3 15
28 20 329 2 104
45 13 267 8 19
25 20 321 4 34
40 13 317 5 27
35 20 258 3 39
42 16 283 5 106
63 14 260 8 29
50 15 281 9 10
60 6 322 10 54
31 21 280 3 28
40 3 308 1 33
35 8 328 1 48
54 4 259 4 68
55 11 263 6 28
51 10 248 4 68
58 1 304 5 34
50 10 321 1 118
41 13 298 6 82
51 18 296 8 89
14 22 351 4 20
54 7 331 6 45
25 22 335 7 45
69 2 296 9 14
63 6 287 9 26
54 14 314 2 207
30 17 280 3 26
33 14 320 4 47
63 2 298 9 31
54 7 257 2 8
17 20 316 3 34
37 24 318 9 43
27 21 334 5 88
37 24 310 9 24
59 9 286 4 19
28 12 373 4 38
47 11 302 7 30
33 16 295 0 14
41 6 309 1 14
39 8 302 5 32
61 11 269 7 62
64 7 294 5 38
47 3 279 6 43
33 7 301 1 71
41 19 263 1 63
41 0 320 5 31
38 23 290 9 24
45 3 298 3 11
39 1 319 1 11
48 1 286 2 41
51 1 301 2 118
43 21 298 8 125
54 12 316 9 71
40 13 323 9 82
30 22 298 4 26
49 2 295 8 17
57 0 286 5 20
25 20 307 3 62
37 13 342 6 30
28 17 297 3 39
30 23 293 2 126
43 15 288 5 73
37 23 279 7 45
47 22 257 4 172
30 16 346 2 53
32 1 343 1 84
51 12 319 8 46
52 12 305 6 106
44 19 301 7 32
59 21 277 7 91
37 14 269 7 59
50 0 336 4 33
49 7 283 7 35
51 11 315 6 66
59 12 304 8 156
64 1 314 6 36
62 15 273 7 151
40 4 298 1 63
65 1 295 5 89
26 18 313 1 60
49 4 334 6 162
76 1 296 7 57
25 19 298 3 20
54 13 305 7 79
77 4 280 3 75
43 22 332 7 151
40 21 291 4 34
33 21 323 7 44
36 18 331 8 38
39 1 332 0 42
29 14 288 2 104
21 24 295 3 16
69 4 254 10 43
38 5 315 6 15
53 15 276 7 78
49 19 241 1 119
47 14 275 10 46
36 8 348 4 43
52 15 259 8 61
35 16 316 5 83
32 20 301 2 35
47 2 305 3 36
36 1 313 3 89
26 23 293 1 32
52 5 278 7 63
43 1 349 5 1
40 12 334 7 69
62 2 282 6 59
7 19 329 0 7
33 7 324 0 48
47 10 306 8 40
50 22 288 9 14
28 17 309 2 142
85 0 274 4 129
41 1 306 1 29
65 7 278 3 154
55 11 275 8 93
22 21 312 0 26
47 10 298 6 30
58 2 266 5 46
30 14 308 0 46
51 5 270 3 85
36 20 301 4 100
36 18 301 8 38
35 18 336 6 87
19 14 320 1 5
50 19 253 1 108
30 12 298 3 44
44 15 313 3 124
31 19 326 2 94
37 21 321 9 54
44 14 337 4 72
26 21 288 4 46
47 12 315 9 23
21 17 323 1 103
45 9 280 7 32
45 12 282 4 104
39 21 285 6 23
38 19 277 1 63
33 9 353 7 12
49 11 245 9 39
51 16 305 8 83
29 15 326 2 62
61 4 268 7 17
54 3 325 10 31
19 20 337 5 33
59 6 294 6 52
49 20 282 3 67
42 22 307 5 47
