contains weight volume color
dangerous 34.9 0.61 other
valuable 95.7 16.71 red
valuable 66.5 6.63 red
valuable 74.4 7.28 other
money 86.7 4.65 white
valuable 97.9 0.89 red
junk 56 11.32 other
junk 96.1 10.41 white
valuable 70.7 6.81 white
junk 2.5 2.65 white
valuable 74.8 4.01 other
dangerous 4.5 3.02 other
valuable 22.2 11.6 brown
dangerous 61.5 7.92 other
junk 50.7 3.25 brown
junk 73 1.3 white
money 96.7 4.23 red
money 43.3 12.31 white
junk 72.2 2.94 brown
valuable 68.5 5.32 white
junk 25.4 14.18 brown
junk 57.3 2.03 red
junk 54.3 1.73 white
money 64 4.23 white
money 82.5 1.13 white
junk 53.9 4.93 white
money 100.7 6.52 white
valuable 54.9 15.86 brown
valuable 107.1 2.27 white
dangerous 72.5 4.5 white
money 112.2 0.95 red
valuable 90.8 1.79 white
dangerous 22.8 3.84 other
junk 49.9 1.44 brown
dangerous 63.3 7.9 white
junk 52.8 3.64 other
junk 92.9 8.92 other
valuable 9.2 24.68 white
valuable 97.8 6.94 brown
valuable 94.1 6.26 red
junk 21.8 8.39 white
junk 9.8 5.89 white
junk 24.1 7.09 white
junk 4.1 6.12 white
dangerous 92.7 1.94 other
money 92.5 11.52 brown
valuable 97.7 1.06 other
valuable 80 6.41 other
junk 63.7 11.4 white
junk 56.5 7.97 other
junk 54.9 1.57 red
valuable 102.8 3.33 brown
junk 116.1 10.45 brown
valuable 47.3 9.55 red
valuable 109.4 5.42 red
junk 36.3 10.87 brown
money 75.9 14.74 other
dangerous 51.2 10.78 other
dangerous 78.8 5.81 red
junk 8.4 0.34 white
junk 10 1.43 red
dangerous 41.8 10.73 white
junk 6 5.09 other
valuable 86 2.62 white
junk 26.7 3.48 other
valuable 94.5 8.91 white
junk 116.8 20.24 red
junk 34.5 0.73 white
junk 45.7 6.88 other
valuable 91.5 2.97 brown
junk 4.7 0.7 brown
dangerous 81.4 14.53 white
dangerous 62.9 4.65 red
junk 24.7 7.12 other
dangerous 78.3 8.28 white
valuable 104.1 0.77 other
junk 105.8 0.85 other
money 113.7 7.07 white
junk 17.7 2.74 brown
valuable 100.1 2.84 red
valuable 104 3.31 white
money 34.1 15.63 white
junk 95.2 3.82 red
junk 89.7 17.23 white
junk 11.1 5.29 red
valuable 114.9 12.15 white
valuable 91.8 0.99 brown
junk 16.3 7.79 other
junk 113.4 5.25 other
dangerous 114.7 17.22 brown
junk 106.2 4.92 red
money 76.8 5.34 brown
money 99.1 8.53 other
junk 43.4 6.22 brown
junk 19 7.5 other
money 86.1 8.28 other
valuable 100 3.15 white
dangerous 22.6 3.96 other
junk 23.6 0.51 other
dangerous 101 2.51 other
junk 61.5 2.95 red
money 111.9 1.48 brown
dangerous 64 7.36 red
valuable 84.2 5.14 other
junk 4.7 2.26 brown
valuable 110.4 6.43 other
junk 42.8 5.2 red
dangerous 99.7 2.48 red
valuable 95.1 7.39 other
dangerous 79.8 5.03 red
money 66.8 10.08 brown
junk 6 2.22 other
valuable 96.5 6.08 brown
junk 54 2 other
junk 57.6 9.68 red
dangerous 24.3 4.67 other
junk 34.1 3.29 white
dangerous 56.4 10.53 other
junk 54.9 9.17 brown
money 90.9 5.44 other
junk 47.2 0.2 brown
dangerous 94.7 3.49 red
money 50.5 13.58 brown
junk 60 5.68 white
junk 43.9 4.16 white
junk 68.4 1.38 white
junk 34.2 6.17 red
money 111.4 1.13 white
dangerous 111.6 8.09 red
junk 62.3 3.7 red
dangerous 79 8.62 white
money 110.5 5.73 other
dangerous 37.6 3.44 other
dangerous 115.5 8.49 brown
money 82.9 11 brown
valuable 98.3 1.34 brown
dangerous 7.2 7.12 other
money 99.8 0.13 red
dangerous 66.3 0.44 other
junk 19.7 3.26 brown
junk 114.8 10.19 red
dangerous 66.4 2.03 other
junk 25.7 4.28 other
junk 6.2 6.83 other
valuable 111.7 2.3 white
junk 32.6 3.49 red
junk 49.8 7.59 white
dangerous 6.2 14.74 other
dangerous 77.1 3.11 red
dangerous 50.3 5.37 other
junk 113 2.51 white
valuable 89.8 6.75 other
junk 66.5 2.42 red
junk 46.1 6.84 other
valuable 19.7 10.74 other
money 78.6 0.73 white
valuable 101.9 2.57 brown
dangerous 112.1 4.38 red
junk 12 6.89 white
junk 10.3 6.73 red
