extrovert confident friendly curious organized
54 24 56 30 80
72 17 53 48 90
34 48 39 69 71
81 51 85 34 27
66 60 68 31 82
54 32 31 37 77
61 47 65 54 73
27 45 27 89 67
73 67 68 37 4
96 47 13 47 48
69 71 17 33 43
94 66 39 48 24
61 66 66 72 70
36 20 62 26 87
80 51 15 52 47
28 50 41 76 54
49 46 51 38 92
80 59 18 41 61
32 22 73 8 79
74 66 10 51 24
63 33 40 38 80
68 23 28 53 86
100 56 87 26 8
71 49 61 41 22
74 54 51 47 79
56 54 48 46 74
26 51 36 92 68
65 48 10 70 61
45 46 57 54 86
56 49 76 21 22
40 66 32 87 65
23 65 31 95 79
86 50 14 41 66
62 53 33 40 47
75 53 73 27 32
72 68 52 55 68
83 69 76 41 38
69 52 36 63 43
36 19 29 36 100
14 19 70 12 87
66 51 68 27 20
47 14 24 56 83
59 56 46 51 86
8 36 51 19 87
61 55 6 56 56
29 66 44 69 60
93 35 61 16 20
68 57 70 42 22
63 48 52 50 72
38 62 19 67 73
80 62 74 39 32
63 26 27 48 89
59 45 48 53 80
55 52 46 52 59
88 57 27 46 47
40 31 36 42 100
11 20 57 5 76
61 32 21 50 74
34 76 33 91 72
21 58 36 100 79
44 19 25 65 100
89 58 14 24 50
85 44 66 29 17
82 82 28 36 46
28 30 72 14 66
47 46 77 43 75
88 57 24 35 51
73 41 65 40 23
85 40 65 45 26
82 42 27 34 55
96 52 19 41 33
98 65 31 44 56
31 61 34 72 61
81 55 69 24 22
67 61 24 27 61
62 50 48 44 89
88 47 1 40 59
77 53 34 43 47
82 75 25 50 55
47 46 53 33 92
54 32 47 40 77
85 54 27 51 47
100 72 20 48 56
30 49 49 74 62
11 15 68 17 75
11 29 77 17 94
82 79 22 62 59
51 32 49 57 86
69 49 79 13 5
81 40 82 26 32
78 66 20 45 52
72 48 91 33 29
86 36 67 40 15
71 17 39 45 76
74 28 43 25 79
68 55 63 46 82
89 52 16 26 47
48 28 39 44 78
64 25 38 50 79
20 20 49 20 93
7 45 43 93 73
32 69 21 90 86
26 56 34 87 48
60 88 57 46 74
27 62 44 87 68
74 75 83 30 14
78 23 44 53 95
45 21 36 56 95
87 34 72 22 44
51 39 28 22 87
40 76 12 73 72
62 22 38 50 83
29 33 64 26 76
77 53 83 30 18
56 50 58 38 94
57 47 46 28 96
94 62 27 50 47
32 28 71 20 73
81 54 27 48 60
20 72 38 92 54
87 39 26 40 56
50 58 85 17 28
44 62 47 65 84
41 58 51 54 77
62 42 80 25 24
10 24 57 10 87
66 41 100 29 30
40 62 38 83 72
30 45 34 80 67
19 26 77 17 89
59 32 26 38 82
80 70 5 48 59
96 46 66 41 17
79 49 70 25 19
25 51 49 73 61
98 51 81 23 26
89 38 63 22 16
51 40 49 53 82
2 31 56 12 77
87 59 63 40 13
15 11 55 15 77
52 49 51 60 95
51 22 49 46 76
82 73 4 45 55
23 4 41 8 82
65 57 60 45 24
86 67 6 56 39
54 27 29 49 91
64 45 42 58 87
51 35 55 76 82
68 46 0 46 58
35 25 50 19 85
100 45 14 27 37
72 41 66 33 20
31 25 66 2 76
40 34 31 38 92
69 17 38 38 76
85 55 10 37 52
28 37 60 36 87
66 48 77 46 97
78 72 18 44 65
59 56 47 43 70
47 28 43 65 77
38 18 25 61 96
45 20 33 29 81
14 55 42 85 69
74 43 67 38 26
72 26 37 59 75
25 52 36 82 70
87 56 62 7 29
50 49 41 60 63
24 30 55 2 77
17 63 36 85 64
37 20 46 23 73
84 61 65 36 22
83 68 38 49 32
18 52 30 78 70
70 44 56 53 83
46 58 69 45 66
37 27 52 21 84
33 40 25 51 97
65 75 69 34 28
33 67 51 34 57
82 48 91 34 20
39 53 23 76 66
64 25 52 57 81
45 19 35 54 82
18 20 59 11 91
69 25 42 43 83
1 4 78 18 100
93 65 32 36 58
71 54 65 3 8
36 35 56 16 100
69 46 41 56 79
91 58 66 34 21
64 13 48 35 77
63 77 56 51 64
65 56 58 20 19
30 47 22 50 67
91 48 29 62 41
