pitch speed curve angle
foul 114.3391 3.6646 -3.8
foul 103.7843 22.243 1
strike 110.0839 6.5781 0.6
strike 98.8694 1.4024 1.3
strike 105.7648 0.5404 -0.2
strike 104.6686 2.0073 -0.5
strike 103.7373 1.8284 -0.9
foul 117.7901 1.2321 -1
strike 93.8846 4.8376 -1.7
strike 92.319 8.8528 2.5
hit 102.1549 9.1808 -1.4
strike 105.9578 2.2324 -1.1
foul 111.2385 7.1172 -6.3
strike 114.9699 0.9898 1.8
strike 108.059 3.176 -2.2
strike 98.4033 2.7523 2.1
hit 103.2639 7.4751 0.3
hit 111.5856 0.8627 0.3
foul 112.0778 7.4821 -6.1
strike 98.5066 4.7624 0.9
strike 99.3211 6.8843 -1
foul 115.5036 4.7239 -4
strike 94.3488 7.4405 -3.9
strike 102.9983 2.1913 -3
strike 105.9365 1.2732 0.4
strike 94.7498 3.489 0.3
hit 108.5062 2.2757 -2.2
strike 92.3482 12.1305 0.9
strike 90.6244 1.9944 1.4
foul 117.3016 5.9173 -0.7
foul 106.5188 4.5883 -6.1
strike 113.6157 1.9728 5.8
strike 90.2902 2.0276 -5
hit 115.194 3.229 1.3
strike 93.2834 11.5711 0.5
hit 110.0281 11.8839 0
strike 92.1723 9.8343 2.7
foul 117.0688 2.8542 -3.2
strike 102.6148 3.4715 -1.3
hit 109.9145 2.3 -0.5
strike 92.572 1.7788 -1.9
strike 105.2592 4.3178 -3.6
hit 109.2399 6.1524 5.2
strike 116.0186 17.3086 0.6
foul 109.5283 7.1223 -1.7
strike 91.5838 0.2604 2.5
foul 103.313 15.7971 -6.2
strike 91.8507 9.6917 -0.4
strike 94.36 4.8902 4.3
foul 102.7422 9.5773 1.2
strike 103.8333 1.4746 2.1
hit 115.2034 12.8956 0.2
strike 102.5807 0.6255 -2.6
strike 97.7327 3.5458 -3.5
foul 106.544 8.527 1.2
foul 115.4544 7.8539 1.4
foul 101.0095 6.502 5.1
hit 109.4493 1.2831 -1.4
foul 103.3959 3.8661 2.7
hit 112.8382 1.0758 -1.1
hit 104.574 10.0288 0.3
strike 99.3889 6.6061 -2.3
hit 107.8909 7.9517 -1.3
strike 95.3781 4.0817 -2.1
strike 98.4048 0.5925 4.7
hit 117.9744 2.0317 -5.3
strike 98.5534 3.6514 0
strike 93.2039 6.8152 1.1
foul 111.7337 1.3774 5.4
hit 107.1877 0.3934 -0.6
hit 108.5023 4.7088 -0.8
hit 112.0201 6.8901 -4.5
strike 94.5131 10.6861 -1.9
strike 99.9277 1.0587 -2.9
hit 102.9206 15.0554 -4.5
foul 111.2019 7.9929 2
foul 105.5517 6.7696 2.4
strike 95.9193 1.7078 1
strike 116.5642 7.9123 -1.3
strike 108.6916 0.8982 -6.6
foul 106.4588 7.6351 0.4
foul 109.986 6.9052 -4.1
foul 113.3855 6.304 2.3
foul 106.4212 14.25 2.5
strike 105.423 1.2437 -4.9
strike 103.9864 1.8419 1.3
hit 98.84 10.3884 5.5
hit 112.7871 4.5657 9.5
strike 91.8647 2.5845 -9.5
hit 110.7491 3.7088 -1.6
hit 110.9508 5.2238 0.5
strike 99.4132 4.8526 0
hit 115.9397 10.1436 0.8
strike 115.7197 10.6474 -1.4
strike 115.6806 2.2874 1.8
foul 100.4707 8.9276 6.3
hit 106.6738 5.3781 -1.9
strike 100.869 4.375 -1.6
hit 113.3927 2.7534 -1.7
hit 109.1833 3.0987 3.7
hit 94.7256 13.172 2.4
strike 93.4854 1.5595 2.6
strike 100.0626 4.2256 0.2
strike 95.7213 4.545 1.1
hit 114.8669 4.2965 -1.5
strike 100.6323 0.542 3.3
strike 93.7002 2.2771 1.6
strike 97.3487 9.0627 0.9
foul 112.6882 6.0753 -0.2
hit 114.6606 10.7833 -3.2
foul 104.4101 11.3274 0.9
strike 100.0326 2.3738 -2.7
foul 107.8962 0.7215 4.6
strike 106.7026 10.1959 -2.1
strike 114.3798 8.4631 -0.6
strike 109.3409 12.0576 1.3
strike 92.7645 5.6344 -2.2
foul 98.5067 10.7973 0.8
strike 101.8302 3.6356 -0.4
strike 97.097 7.3109 -2.6
strike 107.3544 0.46 1.4
strike 95.0984 0.1787 0.1
strike 111.7957 14.8727 -2.7
foul 108.252 10.8277 -2
hit 113.7258 3.5074 -5.7
hit 105.0765 3.0568 -3.2
foul 113.7986 1.3977 -4.6
hit 105.3182 3.3422 0.3
hit 113.352 6.6576 -1.9
foul 108.4516 4.7875 -1.4
foul 106.394 5.6681 6.2
hit 107.8494 3.4733 -6.6
strike 97.5458 10.454 3.4
foul 113.998 5.516 7
strike 93.4297 14.6057 -1.4
hit 99.5849 15.0947 -1.1
strike 95.0337 7.3746 -6
foul 102.7039 7.7504 3.6
strike 102.0776 0.7177 1.1
strike 91.6643 4.4903 -0.3
strike 101.9893 4.2793 2.9
strike 105.4016 0.9555 -3.9
hit 110.7406 7.2961 0.6
foul 115.4144 6.1076 -3
strike 98.5703 0.6334 -1.5
foul 115.7304 1.9348 0.9
strike 92.6201 1.3033 -6
foul 96.8477 19.6689 -2
strike 106.2219 0.9249 -0.3
strike 110.1972 6.3271 4.9
hit 106.7033 9.2316 -1.6
strike 92.3817 2.6121 -2.4
strike 98.2163 2.9291 -1.1
hit 113.3001 0.6912 -0.5
foul 117.7623 8.5048 -6.9
strike 114.0458 9.4158 -1.1
foul 117.4684 2.1696 2.8
strike 100.1168 2.6288 -1
strike 104.5219 4.4868 -1.6
strike 102.3036 1.3052 -0.5
hit 108.7688 7.0624 -0.5
