smartcar height
1 4.36
1 5.81
0 6.5
0 5.65
0 6.3
0 6.29
1 5.32
0 5.55
1 5.87
1 4.64
1 4.28
1 4.57
0 5.01
0 6.22
0 4.38
0 7
1 5.36
0 6.63
0 6.9
0 4.72
0 5.65
1 4.57
1 4.43
1 5.36
0 5.71
0 3.86
0 5.68
0 6.18
1 3.88
0 4.92
0 5.45
0 7.01
0 5.46
0 4.69
1 4.75
0 4.48
1 6.11
1 5.1
1 5.56
1 5.17
1 4.44
1 5.63
0 5.41
1 5.34
0 5.05
0 6.43
0 6.17
1 5.03
1 4.82
1 4.51
0 6.11
0 5.25
1 4.2
0 5.89
1 5.15
0 5.14
0 4.69
0 6.19
0 5.5
0 5.49
0 5.6
0 7.05
0 3.99
0 4.76
1 5.44
0 4.49
1 5.36
0 6.6
0 5.88
0 6.32
1 6.37
1 5.86
1 4.98
0 5.88
0 5.68
0 5.93
0 5
1 5.37
0 6.97
0 5.36
0 6.48
0 6.57
0 4.93
0 5.95
0 5.97
1 4.83
0 5.06
0 5.53
1 5.71
0 5.21
1 5.99
1 4.99
1 5.41
0 5.02
0 4.73
1 5.21
0 6.84
1 5.39
0 5.11
0 5.56
0 6.21
0 7.05
1 5
1 4.83
1 3.03
1 5.46
0 5.94
0 5.95
0 4.92
0 5.79
1 5.85
0 5.71
1 5.98
1 5.84
1 5.18
0 6.39
0 6.84
1 5.52
1 4.6
0 5.64
1 4.89
0 5.3
1 6.27
0 4.67
0 5.87
0 6.43
0 4.58
0 6.04
1 5.04
1 5.73
0 5.18
0 5.73
1 5.35
0 5.28
1 6.02
1 5.97
0 5.45
1 5.05
1 5.58
0 5.26
1 4.96
1 6.48
0 6.39
1 4.07
0 5.51
0 6.87
0 5.21
1 4.64
1 4.32
1 5.23
0 5.03
0 6.86
1 5.13
0 5.62
0 5.55
0 6.28
0 5.97
1 5.86
0 6.62
0 6.46
0 6.53
0 5.74
0 4.64
0 5.31
0 5.3
1 4.96
1 6.67
0 6.15
0 4.78
1 3.97
0 5.1
0 6.17
0 6.11
1 3.93
0 5.49
1 6.42
1 5.6
0 6.19
0 5.68
1 6.48
0 4.24
0 7.05
0 6.5
0 5.65
0 5.7
1 6.19
0 6.27
1 5.98
0 5.39
1 5.98
0 4.92
1 3.78
0 5.6
0 7.21
0 5.31
0 5.75
1 5.48
0 5.91
1 4.07
0 5.44
1 4.75
0 6.09
0 4.97
0 5.92
0 5.14
1 4.91
0 6.63
1 6.31
0 6.43
0 5.43
0 6.08
1 5.92
0 5.25
0 4.63
0 5.56
1 6.28
0 5.33
0 5.79
0 5.35
0 4.87
1 6.26
0 5.98
0 6.56
0 6.48
1 4.98
0 6.36
0 6.9
1 6.42
0 5.26
1 5.52
0 4.91
0 6.5
0 5.29
0 6.33
0 5.04
1 5.61
1 5.23
0 6.46
0 7.06
0 6.03
0 6.4
1 5.57
0 4.93
1 5.84
0 6.12
1 5.12
0 6.4
0 4.68
1 6.47
0 5.33
