"switch" "gpa" "age"
"1" 12 2.5 21
"2" 92 3.9 21.7
"3" 97 3.6 24.3
"4" 32 2.8 24.8
"5" 36 3.7 18.5
"6" 51 3.1 21.6
"7" 70 3.2 24.1
"8" 79 3.6 20.1
"9" 62 3 19.4
"10" 88 2.7 20.5
"11" 72 3.3 24.6
"12" 126 3.3 21.4
"13" 37 3.6 24.7
"14" 137 3.6 24.4
"15" 29 2.6 23.8
"16" 124 3.3 23.4
"17" 58 3 22.8
"18" 69 2.5 24.1
"19" 75 2.7 24.1
"20" 141 3 22.6
"21" 105 4 23.3
"22" 76 3.4 20.2
"23" 51 2.6 22.3
"24" 87 2.9 21.6
"25" 65 2.5 23.4
"26" 61 4 23.8
"27" 37 2.8 21
"28" 15 2.8 23
"29" 181 3.1 23.6
"30" 31 3.9 24.3
"31" 10 2.7 24.4
"32" 34 3.5 20.6
"33" 69 2.6 20.6
"34" 24 3.7 20.1
"35" 58 3.8 24
"36" 154 3.3 20.8
"37" 70 3.8 18.6
"38" 8 3.6 20.8
"39" 27 2.8 23.2
"40" 41 2.9 23.2
"41" 29 3.1 18.5
"42" 27 2.7 22.6
"43" 84 3.2 20.6
"44" 60 3.5 18.4
"45" 12 3.3 24.5
"46" 35 2.6 20.7
"47" 198 3.9 24
"48" 38 2.7 21.5
"49" 29 3.2 18.1
"50" 74 3.2 18.6
"51" 82 2.8 24.3
"52" 37 3.9 19.1
"53" 183 3.7 24.5
"54" 13 3.3 22.4
"55" 99 3.2 21.3
"56" 64 3.3 22.4
"57" 23 2.7 18.4
"58" 14 3.4 19.6
"59" 148 3.8 20.9
"60" 17 2.5 20
