type age height falls density
Sugarberry 30 109.93 0 27.3
Dogwood 54 25.38 1 25.3
Sugarberry 21 22.07 1 28.6
Sycamore 33 30.13 1 16
Oak 65 84.01 0 20.8
Oak 17 91.6 0 21.3
Sugarberry 5 46.03 0 10.6
Sugarberry 0 83.57 1 29.5
Elm 16 93.28 0 22.1
Sycamore 62 63.74 1 12.3
Oak 26 86.8 0 12.3
Sugarberry 32 37.13 1 12.6
Dogwood 20 111.78 1 22.9
Dogwood 24 29.11 1 28.5
Sugarberry 29 95.45 0 17.9
Dogwood 13 97.96 0 14.2
Dogwood 12 74.73 0 27.6
Elm 44 67.19 0 24.5
Sycamore 50 70.79 0 25.9
Sugarberry 5 61.55 0 29.1
Elm 11 117.56 0 11.7
Elm 9 65.37 0 17.9
Oak 24 43.47 0 29.8
Sycamore 23 94.6 0 14.6
Sugarberry 46 100.19 0 25.6
Sycamore 11 78.08 0 25.8
Sugarberry 3 65.68 0 29.2
Dogwood 93 42.89 1 16.3
Sugarberry 19 75.32 0 15
Dogwood 10 33.51 1 20.9
Dogwood 82 95.77 1 26.1
Sugarberry 7 58.57 0 29.5
Oak 5 86.3 0 13.7
Sugarberry 37 78.62 0 24.8
Sycamore 57 28.14 0 16.2
Oak 114 34.27 1 12.4
Elm 8 71.7 0 10.5
Elm 28 31.33 0 29.7
Sugarberry 25 26.51 1 11.7
Sycamore 7 75.77 0 14.8
Elm 9 51.22 0 12.5
Dogwood 17 33.13 0 27.5
Dogwood 23 108.84 1 22.5
Dogwood 15 35.57 0 21.1
Oak 25 70.33 0 11.9
Oak 13 83.13 1 16.1
Oak 19 22.49 0 24.1
Sycamore 18 29.85 1 25.9
Sugarberry 1 69.32 0 17.4
Dogwood 45 67.42 1 20.3
Sugarberry 26 65.35 1 25
Oak 11 100.43 0 17.8
Oak 2 44.1 0 14.2
Oak 74 42.36 1 25.1
Oak 49 46.28 1 12.1
Oak 13 54.83 0 15.3
Oak 32 106.01 0 26.2
Elm 16 57.25 1 25.9
Elm 45 58.74 0 15.8
Sugarberry 91 60.73 0 29.8
Oak 11 87.73 1 21.5
Elm 27 65.83 0 13.9
Sycamore 15 111.09 0 29.8
Sugarberry 1 20.27 0 28.5
Elm 55 100.11 0 20.9
Sycamore 77 103.91 1 17.1
Oak 7 51.26 1 20.7
Dogwood 25 102.61 0 12.1
Sugarberry 54 108.29 0 21.2
Sycamore 21 51.78 0 23.6
Elm 13 70.86 0 19.9
Dogwood 6 30.13 1 26.5
Elm 13 30.95 0 26.8
Elm 4 118.76 0 22.2
Sycamore 32 94.77 0 18.2
Oak 21 106.07 1 20
Dogwood 27 55.84 0 21.1
Dogwood 30 94.85 1 11
Sycamore 49 98.59 1 12.1
Sugarberry 13 80.64 0 15.5
Sugarberry 24 86.68 0 10.9
Oak 101 97.45 1 19
Sugarberry 19 98.26 0 22.5
Dogwood 11 104.25 1 12.3
Oak 17 115.98 0 12.2
