age timber tone volume accent star
62 -0.2469 77.4 96.6 British 0
38 -0.386 40.7 3.3 Southern 0
30 0.1918 13.2 3.2 NewYork 0
32 -0.155 73 11 Southern 0
43 -0.0952 5.4 12.1 Southern 0
41 0.1918 91.3 1 Other 1
51 0.3238 47.7 10 NewYork 1
50 0.089 50.8 18.8 British 0
29 -0.1995 82.7 14.4 British 0
40 0.043 40.4 14.7 Southern 0
50 -0.0628 69.9 32.4 British 0
35 -0.064 79.7 23.5 Other 0
28 -0.2738 80.3 29.5 Southern 0
39 0.0535 45.8 41.5 British 0
51 -0.1414 10.6 2.8 Other 0
44 0.0144 26.7 22 Southern 0
40 0.0581 34.2 11.1 British 0
43 0.0171 40.2 27.9 British 0
31 0.0413 33 4.4 NewYork 0
40 0.3158 82.1 24 Southern 1
54 -0.181 68.6 8.2 NewYork 0
52 -0.2992 66.8 58.6 Southern 0
19 0.0293 43.6 6.4 Other 0
28 -0.0423 44.6 3.3 British 0
33 0.0063 95.7 36.8 Southern 0
27 0.315 11.4 10.2 Other 0
30 0.2599 47.6 0.1 Other 1
45 0.1227 98.8 12.8 Southern 0
34 -0.0686 4.4 3.2 NewYork 0
47 -0.027 86.5 4.5 NewYork 0
52 0.094 87.7 6.9 Southern 1
56 0.3054 95.6 1.5 British 1
49 0.0623 20.5 13.1 Southern 0
43 0.0247 60.4 25.9 Southern 0
48 -0.0605 12.6 59.3 Southern 0
56 -0.0926 60.6 6.8 Other 0
27 -0.0276 26 8.5 NewYork 0
50 0.0312 52 4.5 Other 0
32 -0.3069 81.7 15.9 Southern 0
43 0.0874 76 18.3 Southern 0
45 -0.1393 41.2 2.8 Other 0
42 -0.2183 60.4 15.2 British 0
31 0.0079 51.3 13.9 NewYork 0
41 0.0934 17.1 2.7 NewYork 0
37 -0.0396 92.8 60.7 NewYork 0
60 0.0109 81.2 5.3 British 0
39 0.1573 71 1.3 Southern 1
48 0.0154 31.1 21.8 Other 0
43 -0.1886 37.7 6.8 Other 0
39 0.0706 74.2 33.4 NewYork 0
19 -0.2733 6.4 65.7 NewYork 0
52 -0.1687 46.7 35.2 British 0
44 0.2991 15.8 17.2 Other 1
43 -0.0655 90.8 16.4 Other 0
45 -0.0308 55.9 6.6 NewYork 0
71 0.3361 66.4 0.7 NewYork 1
44 0.16 16.9 15.8 British 1
31 0.3118 45.4 7.4 British 1
55 0.1396 3.8 28.6 British 0
57 0.3014 73.5 14 Southern 1
36 -0.0909 61.8 25.2 NewYork 0
46 -0.4506 72.3 15.7 NewYork 0
50 -0.0578 69 5.5 NewYork 0
41 0.0696 82.4 66.1 British 0
41 0.0445 83.5 9.5 British 0
48 -0.0471 60.9 30.8 Southern 0
48 -0.0823 88.7 0.9 NewYork 0
42 -0.1029 54.6 50 NewYork 0
50 0.1177 20.8 15 Other 0
38 0.2632 88.8 0.6 Southern 1
50 -0.1265 83.1 18.7 British 0
53 0.3737 38.2 8 British 1
59 -0.119 39 4.7 NewYork 0
38 0.2016 99.3 4.7 Other 0
38 -0.1585 50.5 39.7 NewYork 0
45 0.2113 78.8 15.8 Southern 1
60 -0.0123 97.6 55.7 Southern 0
46 -0.2505 46 35.6 Other 0
43 -0.0817 36.7 15.4 NewYork 0
54 0.0128 20.9 19.7 NewYork 0
76 -0.0086 64.1 21.5 British 0
47 -0.0804 75.2 1.7 Southern 0
28 0.4195 15.4 2.4 Other 1
44 -0.4766 48 5.1 NewYork 0
41 0.0751 86.2 25.9 British 0
59 -0.0443 42.2 8.4 Other 0
39 0.0921 51.2 12.6 NewYork 0
41 -0.1783 95.9 15.9 NewYork 0
42 -0.3768 10 34.3 British 0
47 -0.2188 24.9 35.7 NewYork 0
61 0.3173 44 31 Southern 1
44 0.1442 47.7 7.3 Southern 1
43 0.2029 62.7 3.4 Other 1
42 -0.1908 33.6 26 British 0
58 0.1868 81.6 1.5 Southern 1
54 0.1017 69.9 42.1 NewYork 0
39 0.2013 8 7.3 Other 0
35 -0.2297 52.3 41.9 British 0
51 -0.1316 29.1 1.2 Southern 0
43 0.0063 89 72 British 0
49 0.1046 47.2 11.9 British 0
37 0.5452 86.5 4.8 NewYork 1
60 -0.0927 75.4 12.1 Other 0
47 -0.0587 30.4 29 Other 0
59 0.0991 97.5 25.6 Southern 1
48 0.7118 0.8 58.6 Other 1
45 -0.0429 97.2 50.2 NewYork 0
64 -0.1397 43.3 33.3 Other 0
64 0.0317 20 1.9 NewYork 0
40 -0.0939 7.8 12.2 Southern 0
58 -0.0206 17.4 6.5 Other 0
52 0.02 97.5 9.3 Southern 0
31 0.1686 88.8 33 Southern 0
57 0.1904 35.7 6.5 NewYork 1
39 -0.1629 58.2 2.8 British 0
40 -0.4013 64.7 21.6 Southern 0
43 0.3934 67 41.7 Southern 1
45 -0.3626 7.1 4.8 Other 0
41 0.2298 21.7 25.9 British 0
44 0.0542 86.8 18.9 NewYork 0
57 -0.0806 42.8 11.8 British 0
60 -0.0036 60.6 39.2 Southern 0
54 -0.2069 52.4 14.3 British 0
36 -0.1491 71.8 21 British 0
45 0.4102 81.8 47.2 British 1
34 0.171 68 24 British 0
52 -0.1315 16.5 0.4 Southern 0
52 -0.222 66.2 0.5 Other 0
39 -0.0047 42.8 27.1 NewYork 0
59 0.3052 26.4 11.9 NewYork 1
41 -0.1928 18.8 1.6 British 0
47 0.026 43.6 18.5 Other 0
57 0.1266 35.8 0.3 NewYork 1
23 -0.2985 93.5 7.5 NewYork 0
49 0.0674 83.1 4 Other 0
31 0.2104 40.6 22.1 British 0
68 0.3814 10.8 23.9 British 1
33 0.1054 22.6 26.4 Other 0
42 -0.0557 61.3 2.7 NewYork 0
44 0.1664 18.6 2.3 British 1
20 -0.4043 6.4 59.6 Southern 0
25 -0.0655 2.5 6.9 NewYork 0
39 0.0528 69.5 93.9 Southern 0
49 -0.3169 76.5 9.2 Southern 0
59 0.4425 4.2 26.4 Other 1
47 -0.1883 34.5 43.2 British 0
51 0.3716 48.9 0.2 NewYork 1
52 0.1496 71.7 1.3 Southern 1
49 0.1586 89.9 44.3 British 0
43 -0.0873 48.1 2.1 Other 0
51 -0.1104 35.6 10.1 British 0
42 0.0961 24.3 18.2 British 0
48 0.1314 29.8 0.8 British 1
34 0.0182 67.3 13.6 Southern 1
53 0.4837 27.5 2.3 Other 1
44 0.059 62.2 53.5 Other 0
34 -0.0841 98.2 25 British 0
41 0.0456 25.3 8.3 Other 0
46 -0.0658 75.4 47.5 British 0
48 0.1246 43.7 1.3 Southern 1
36 -0.0893 20.8 7.9 British 0
40 -0.2912 67 51.4 Other 0
44 -0.0763 86 8.7 Other 0
61 -0.0819 86.2 12.6 NewYork 0
47 -0.068 87.7 12.8 British 0
52 -0.1473 26.2 0 NewYork 0
56 0.0801 98.5 6.2 British 0
30 -0.1165 75.9 14.7 NewYork 0
43 -0.3146 52.1 6.2 Other 0
37 0.0532 52.8 8.9 NewYork 0
39 0.045 31.7 39.3 Southern 0
44 -0.1187 45.7 33.6 British 0
41 0.1231 0.3 8.9 Other 0
23 0.2313 47.2 5.5 Other 0
52 0.1401 26.7 49.9 NewYork 0
54 -0.1874 13.1 43 British 0
53 0.0044 57.4 8.1 Southern 0
55 -0.4822 37.2 20.1 British 0
44 0.1023 41 1.9 Other 0
65 -0.171 15.9 38.8 Other 0
36 -0.0745 72.7 0.7 NewYork 0
41 0.3467 6.1 27.7 Southern 1
60 -0.0801 14.8 56.7 Southern 0
43 0.2235 11.3 9.8 British 1
47 -0.1206 47.5 13.2 Southern 0
51 -0.1635 42.2 7 British 0
37 0.0085 35.7 3.5 NewYork 0
55 -0.0379 48.4 8.5 NewYork 0
39 0.2209 69.8 9 Southern 1
40 0.0516 77.2 12.2 Other 0
40 0.2205 53.5 92.3 NewYork 0
44 0.0444 52.1 12.7 British 0
44 0.0736 12.5 1.6 NewYork 0
39 0.1393 88.8 16 Southern 1
38 -0.0689 84.9 8.9 Other 0
54 -0.0932 33 2 NewYork 0
45 -0.0821 87.3 20.9 Southern 0
56 -0.0164 60.5 16.4 Other 0
54 0.0254 42.6 1 British 0
49 -0.0922 58.5 48.8 Southern 0
49 -0.4069 5.8 20.2 British 0
49 -0.1435 21.6 3.5 Southern 0
37 -0.1351 80.1 21.9 Southern 0
24 0.042 5.8 3 British 0
40 -0.0334 8.3 10.8 NewYork 0
54 -0.1076 97.9 22.9 NewYork 0
24 0.2826 67.4 10.3 Other 0
52 0.064 55.3 6.9 British 0
45 -0.1042 66.5 13.8 Other 0
48 -0.1102 72 13 NewYork 0
39 0.25 33.5 9.9 NewYork 1
47 0.0619 63.8 24.4 Southern 0
40 0.275 30.2 49.8 Other 0
37 0.0948 84 29.4 Other 0
49 0.2173 70.3 75.3 Southern 0
50 0.1665 14.6 4.5 British 1
38 0.0561 58 4.8 British 0
60 0.0556 50.9 16.8 Other 0
40 0.0534 82.3 6.8 British 0
51 -0.2444 34.9 0.9 NewYork 0
41 0.1001 28.7 26 NewYork 0
17 0.0107 9.2 50.5 Southern 0
53 0.1057 11.8 5.3 British 1
60 0.1207 28.1 17.2 British 0
59 -0.0538 88.4 11.6 British 0
31 0.1108 71.8 37.3 NewYork 0
35 -0.1218 42.1 5.4 British 0
49 0.119 11.1 4.7 Southern 1
46 -0.014 8.3 2.5 NewYork 0
37 -0.073 4.2 18.5 Other 0
65 -0.2635 79.4 25.5 Other 0
45 0.2025 98.4 29.9 NewYork 0
59 -0.3465 28.1 17.5 Other 0
44 -0.3671 54.6 8.6 British 0
68 -0.0639 94.1 13.5 Southern 0
25 0.0731 58.1 3.3 British 0
34 -0.1811 95.4 6.4 Southern 0
40 -0.0702 14 22.6 NewYork 0
46 0.2266 29.9 8.3 Other 1
47 0.0083 97.2 43.7 British 0
41 0.3134 75.2 25.4 British 1
46 -0.0349 40.3 12.8 Other 0
38 -0.2061 15.4 5.3 NewYork 0
51 -0.116 60.1 21.4 NewYork 0
43 0.3159 93.3 10.7 NewYork 1
51 -0.1045 34.2 2.7 Other 0
52 0.2027 63.5 10.4 Southern 1
46 0.1967 97.9 7.8 NewYork 1
63 -0.0275 47.3 2.7 Other 0
59 0.0536 13.6 8.4 Other 0
36 0.0712 91.1 37.9 NewYork 0
35 0.0154 78.1 13.2 NewYork 0
39 -0.2568 93.5 15.6 Southern 0
48 -0.012 75 0.1 NewYork 0
48 0.3444 74.6 3.7 NewYork 1
44 -0.2599 40.2 0.8 British 0
70 -0.0531 31.1 1.3 British 0
36 0.0369 57.9 26.6 NewYork 0
38 0.117 84.1 10.1 Southern 1
47 0.2402 17 4.8 British 1
39 -0.1075 55.4 42.9 British 0
33 0.1918 30.3 58.9 Southern 0
48 -0.1536 87.7 18.1 British 0
45 0.0228 17.4 6.6 Other 0
47 -0.0256 40.9 30.1 Southern 0
38 -0.0676 17.5 0.2 Other 0
38 0.157 46.4 4.3 NewYork 0
54 0.0536 67 14.3 NewYork 0
40 0.1105 92.8 21.4 Other 0
40 -0.0461 31.9 23.2 Southern 0
59 0.3432 71.5 21.4 British 1
43 -0.0582 43.2 13.5 Other 0
52 0.1445 16.2 5 NewYork 1
58 -0.0013 78.6 8.2 Other 0
48 -0.1252 36.5 10 NewYork 0
47 -0.1499 76.3 9.6 Southern 0
56 -0.1496 89.9 16 NewYork 0
38 0.2418 62.5 17.3 Southern 1
18 0.1723 68.6 2.5 British 0
41 0.1792 39.2 6.8 Southern 1
42 0.275 39.3 29.8 British 1
45 -0.0684 94 18 British 0
45 0.0191 86.1 8.5 Southern 0
39 -0.052 6.2 19.6 British 0
39 0.1891 90 7.3 British 1
36 0.2712 46.3 6.4 British 1
39 0.0507 38.7 8.7 NewYork 0
51 -0.1652 93.8 30.6 Other 0
43 -0.0162 86.8 7 Other 0
49 0.1186 22.7 1 Southern 1
49 0.081 80.7 19 NewYork 0
42 0.1696 2 13.8 British 1
51 0.0819 96.3 25.2 NewYork 0
60 -0.2026 93 29.7 Southern 0
53 -0.122 84.8 20.1 British 0
52 0.1212 48.9 26.7 British 0
38 0.0992 85.3 0.5 Southern 1
40 0.1669 49.2 7.5 Other 0
46 0.2904 72.7 12 NewYork 1
48 -0.0364 74.6 15.5 Southern 0
54 -0.1712 65.8 48.3 NewYork 0
63 0.2973 13 18.3 Other 1
21 0.08 85 53.9 Southern 0
36 0.0906 90.2 60.4 British 0
25 0.0277 68.4 26.6 Other 0
27 -0.1484 70.4 53 Other 0
53 0.1403 56.2 17.1 Other 0
44 -0.0383 99.1 29.6 NewYork 0
46 -0.1234 33.6 43.6 Other 0
51 -0.247 41.9 44.6 Southern 0
51 -0.1232 68.3 7.3 Southern 0
25 0.0351 5.6 13.5 Southern 0
28 -0.1873 44.1 22.2 Other 0
44 -0.3078 44.8 20.6 NewYork 0
31 0.0243 34.1 9.8 NewYork 0
44 -0.0341 53.4 12.1 British 0
53 -0.1266 81.8 56.9 British 0
56 0.0493 10.7 17.4 NewYork 0
49 -0.0373 83.4 19.4 NewYork 0
49 -0.0288 36.1 0.8 British 0
