candy movie outside price hours
76 Romance dark 3.17 4
120 Action dark 9.89 6
32 Action dark 8.62 2
40 Comedy dark 3.51 2
105 Comedy dark 8.62 5
51 Comedy dark 5.72 3
90 Romance dark 4.84 5
51 Comedy dark 6.49 3
28 Action dark 6.35 2
88 Comedy dark 8.51 4
40 Comedy dark 6.29 4
42 Comedy dark 7.54 2
12 Comedy dark 4.69 1
56 Comedy dark 3.64 4
44 Comedy dark 4.5 2
102 Action dark 7.04 6
45 Comedy dark 6.59 3
81 Comedy dark 9.02 3
108 Romance dark 4.99 4
150 Comedy dark 9.11 6
14 Comedy dark 4.16 1
76 Action dark 9.11 4
100 Comedy dark 5.97 5
56 Romance dark 5.67 4
108 Action dark 9.31 4
19 Comedy dark 8.87 1
40 Action dark 4.37 2
20 Action dark 8.17 1
57 Comedy dark 8.54 3
68 Romance dark 3.83 4
56 Action dark 9.95 4
72 Action dark 9.68 4
56 Action dark 4.57 4
32 Comedy dark 6.62 2
16 Action dark 6.1 1
60 Action dark 7.81 6
78 Action dark 6 6
100 Comedy dark 6.08 5
42 Action dark 8.06 2
44 Romance dark 7.14 2
55 Action dark 4.1 5
36 Comedy dark 6.7 3
60 Comedy dark 6.74 5
16 Comedy dark 5.32 2
102 Comedy dark 8.24 6
54 Romance dark 4.47 3
42 Comedy dark 6.59 2
32 Comedy dark 9.46 2
70 Action dark 8.15 5
45 Romance dark 8.31 3
26 Action dark 7.23 2
84 Action dark 3.78 6
90 Romance dark 8.69 3
39 Action dark 4.43 3
80 Romance dark 7.25 4
108 Comedy dark 9.36 4
104 Comedy dark 6.81 4
57 Comedy dark 4.51 3
88 Comedy dark 8.39 4
28 Romance dark 8.38 1
14 Action dark 9.9 1
13 Action dark 3.72 1
105 Comedy dark 6.87 5
108 Comedy dark 9.46 4
60 Action dark 9.38 3
45 Comedy dark 6.91 3
13 Action dark 4.9 1
72 Comedy dark 9.62 4
80 Comedy dark 7.29 5
76 Action dark 9.44 4
26 Romance dark 3.47 2
80 Action dark 5.28 5
66 Comedy dark 8.97 3
34 Comedy dark 9.74 2
112 Comedy dark 7.99 4
84 Comedy dark 5.76 4
80 Comedy dark 3.28 5
51 Romance dark 3.12 3
9 Action dark 6.74 1
28 Action dark 5.54 2
90 Romance dark 4.04 6
60 Comedy dark 3.16 5
12 Action dark 7.37 1
60 Comedy dark 6.73 5
32 Action dark 8.38 2
120 Romance dark 5.21 5
66 Comedy dark 5.99 3
116 Comedy dark 8.47 4
90 Romance dark 7.21 3
14 Action dark 3.96 1
32 Action dark 7.85 2
46 Romance dark 7.06 2
46 Romance dark 6.81 2
48 Comedy dark 8.57 2
75 Romance dark 5.61 3
90 Action dark 8.71 6
34 Action dark 7.54 2
132 Action dark 9.19 4
108 Comedy dark 8.43 4
32 Action dark 5.84 2
80 Comedy light 6.2 5
26 Comedy light 5.5 2
39 Comedy light 6 3
12 Comedy light 4.7 2
19 Romance light 9.1 1
126 Romance light 8.12 6
24 Action light 9.35 3
52 Action light 7.86 4
66 Comedy light 9.52 3
18 Action light 5.85 2
65 Comedy light 9.14 5
27 Romance light 6.16 3
19 Comedy light 7.65 1
12 Comedy light 5.35 1
48 Romance light 5.32 4
32 Romance light 3.57 2
45 Action light 4.21 5
45 Comedy light 8.64 3
16 Romance light 3.49 1
13 Comedy light 4.07 1
92 Romance light 8.37 4
20 Action light 5.14 2
10 Comedy light 4.8 1
60 Comedy light 9.77 3
22 Comedy light 8.6 2
21 Romance light 4.78 1
45 Romance light 5.64 3
44 Comedy light 3.24 4
38 Comedy light 5.36 2
39 Romance light 3.82 3
33 Romance light 3.13 3
63 Comedy light 6.64 3
30 Action light 6.93 3
11 Comedy light 5.04 1
60 Action light 5.99 5
75 Comedy light 6.74 5
24 Comedy light 4.31 2
12 Comedy light 3.05 1
42 Romance light 4.75 3
34 Romance light 8.31 2
64 Comedy light 8.69 4
52 Romance light 5.47 4
76 Romance light 4.06 4
32 Comedy light 9.38 2
68 Comedy light 8.15 4
22 Action light 6.96 2
51 Comedy light 7.44 3
90 Comedy light 8.39 5
60 Comedy light 9.04 3
64 Comedy light 3.63 4
69 Romance light 7.91 3
114 Comedy light 5.92 6
90 Romance light 7.22 5
12 Comedy light 3.27 1
55 Action light 4.6 5
30 Comedy light 7.53 3
34 Romance light 9.39 2
72 Romance light 8.72 4
39 Comedy light 9.76 3
24 Action light 9.64 2
42 Romance light 3.55 3
28 Comedy light 9.67 2
66 Comedy light 6.17 6
95 Comedy light 8.33 5
20 Comedy light 3.07 2
45 Comedy light 3.93 5
16 Comedy light 3.84 2
36 Action light 9.13 3
78 Comedy light 4.56 6
17 Action light 4.57 1
60 Comedy light 4.44 4
35 Action light 4.28 5
15 Comedy light 3.6 1
22 Action light 5.72 2
80 Romance light 8.56 5
60 Action light 8.89 3
56 Romance light 3.49 4
38 Action light 9.38 2
60 Romance light 3.91 3
85 Romance light 5.04 5
75 Comedy light 7.74 5
54 Comedy light 9.31 3
36 Action light 9.12 2
11 Action light 9.55 1
50 Comedy light 4.04 5
60 Comedy light 9.67 4
14 Action light 5.3 2
90 Comedy light 9.34 5
21 Comedy light 9.07 1
42 Comedy light 4.03 3
18 Action light 3.6 2
80 Comedy light 9.66 5
50 Romance light 8.23 2
84 Comedy light 6.82 6
100 Comedy light 9.41 5
20 Action light 4.13 4
66 Comedy light 8.35 3
60 Action light 6.5 5
51 Comedy light 7.35 3
22 Action light 5.37 2
