dest time weight speed
Bryan 7.52 18.3509 77.8
House 10.08 16.8799 75.8
House 13.84 4.0182 74.4
House 8.11 26.4044 71.8
Bryan 8.84 50.484 78.2
Bryan 15.41 18.858 78.7
Bryan 12.03 111.1878 77.3
House 14.62 7.6025 75.5
Stores 16.73 64.9711 81.9
House 14.86 5.1582 76.5
University 17.96 4.67 76.9
Bryan 6.23 63.4666 79.7
House 9.43 17.863 77.1
Stores 7.83 60.9477 81.1
Bryan 7.27 16.8199 79
House 7.43 34.4969 78.1
University 16.32 10.363 78.7
House 8.15 29.5739 74.6
House 7.38 8.7669 80.1
House 10.31 39.0407 73.2
University 14.54 51.7285 72.6
University 13.65 46.6374 81.8
House 14.42 122.1434 79.8
House 6.41 35.7894 80.9
House 9.85 37.265 79.8
Bryan 11.89 48.7597 75.3
House 11.95 21.7767 83.5
Stores 15.69 55.4319 81.1
Bryan 10.88 17.16 75.1
Stores 7.34 49.1323 81.8
Bryan 11 4.2315 80.2
Bryan 8.09 63.8968 78.8
University 14.14 29.1768 80.3
House 7.39 35.3063 76.1
University 7.92 114.9682 81.7
House 13.08 13.6185 76.9
Bryan 15.02 13.1312 82.7
University 14.36 30.5441 81.2
Stores 11.58 38.245 79
House 11.09 11.78 78.6
University 14.96 65.6662 81.1
Stores 7.92 65.4139 79.1
Outside 17.22 72.8112 77.4
Stores 15.13 68.6791 78
House 6.64 94.3393 76
House 8.5 46.8384 76.9
Bryan 7.8 18.5567 78.5
Bryan 10.57 27.5872 78
Outside 15.7 49.9099 76.4
House 8.62 27.8271 77
Stores 13.21 98.5705 85.1
House 8.75 18.9845 79.8
Bryan 10.67 6.9255 81.7
House 15.4 1.9987 77.7
House 8.76 25.7325 75.5
Bryan 17.72 19.999 78.2
House 10.78 30.8397 75
Bryan 16.36 9.6743 79.3
Bryan 10.62 26.9227 81.1
House 6.33 37.0277 77.9
Bryan 6.58 32.5893 76.9
House 13.53 12.2503 72.2
University 13.62 34.7109 79
University 16.19 40.3668 84.9
House 12.31 25.2122 76.7
Stores 12.6 7.3004 78.6
House 9.48 43.2838 80.4
Outside 15.68 25.0062 75.3
Outside 14.08 28.495 82.5
Bryan 7.23 19.4622 85.4
Outside 16.7 35.5581 83
Bryan 11.54 27.024 77.4
House 8.04 11.5154 80.3
Bryan 11.44 20.5461 81.3
Bryan 13.41 16.3023 78.4
Stores 15.17 31.5536 78.3
Bryan 8.72 15.95 83.7
Stores 12.52 7.3551 79.2
Outside 13.09 68.4999 81.1
House 6.6 10.1461 75.8
House 15.74 116.2421 76.3
House 10.22 56.3582 83.4
House 10.8 11.1936 72.1
Bryan 8.33 34.6154 81.8
Outside 11.46 95.0525 76
House 11.52 2.7696 77.5
Bryan 7.81 49.8419 81.2
House 15.51 39.0875 74.8
Bryan 8.73 22.2188 78.7
University 16.26 52.3422 80.9
University 17.47 32.2932 78.9
University 17.6 5.5424 73
House 9.15 11.6018 78
House 9.65 63.657 73.1
Bryan 9.58 146.7655 80.2
House 7.03 21.6387 72
University 14.36 55.2896 83.5
University 16.22 27.5211 78.9
Stores 15.14 38.3492 75.1
House 9.15 9.2883 71.8
University 13.82 48.5458 73.5
House 13.71 8.9979 79.4
University 14.99 48.2617 71.7
House 13.64 5.8105 73.5
Outside 10.82 79.5426 80.9
House 17.65 104.9605 77.9
University 13.46 43.051 76.5
House 10.34 69.9105 74.2
House 12.49 16.3135 75.9
University 14.81 28.6692 74.6
House 7.19 4.2363 76.2
Stores 10.5 74.9409 77.3
Bryan 15.12 9.7911 81.4
University 17.99 21.5391 83.2
House 17.97 15.6479 79.8
House 8.77 17.8638 78.8
House 13.61 10.8287 76
House 9.28 10.7058 74.9
House 7.12 76.3209 79.1
Stores 15.61 53.3454 80.2
Outside 16.28 38.7341 77.8
Outside 14.88 76.9954 82.1
Bryan 10.77 21.9811 83.9
Outside 17.24 6.6803 76.4
House 7.26 13.4256 84.1
House 6.2 39.2832 76.3
Bryan 7.94 89.2376 76.1
Bryan 11.88 24.152 78.2
Bryan 10.7 41.1652 87.8
House 10.94 41.9519 81.4
University 11.99 143.0815 80.8
House 14.29 15.0946 75.3
Outside 9.75 92.1182 75.5
Stores 15.51 110.0845 76.2
House 7.08 43.8711 72.9
House 11.09 36.1644 75.4
Bryan 13.06 11.1272 83.6
House 13.53 13.2441 73.5
Bryan 9.35 43.4396 76.8
House 6.6 26.0929 73.4
Bryan 8.63 26.0083 75.8
University 10.55 219.4187 84.7
Bryan 9.53 16.371 80
House 9.57 56.8392 79.4
