villainized minorkey scars friends
60 1.322 8 8
26 0.337 15 8
43 2.347 8 9
0 0.777 10 10
66 1.641 13 11
0 1.027 7 12
22 1.238 10 10
31 1.639 8 7
45 3.523 15 11
58 1.384 14 9
0 0.244 10 12
20 0.021 11 9
33 2.363 9 8
25 0.158 18 10
35 0.437 10 9
39 0.373 11 11
40 4.284 16 8
0 1.131 15 11
41 1.08 15 8
0 1.082 13 10
30 1.402 11 13
0 0.311 11 11
63 3.854 9 8
0 0.026 11 11
47 0.759 17 9
26 6.48 14 12
50 2.765 12 11
61 0.956 13 7
40 2.703 13 6
66 1.481 16 7
0 0.346 11 9
39 1.307 8 14
0 0.627 10 11
0 0.35 12 12
45 3.008 15 10
45 4.797 8 9
49 1.348 20 9
0 0.101 16 14
0 0.208 10 13
49 1.238 12 12
0 0.704 17 12
47 3.541 8 7
0 2.653 16 13
60 0.481 10 9
54 2.319 14 11
46 3.648 12 4
38 0.047 18 10
38 7.956 17 10
0 0.988 11 10
51 2.346 13 9
26 0.165 12 8
31 1.357 13 11
0 0.308 14 13
30 5.92 10 8
44 1.184 14 6
32 1.67 11 9
52 1.745 14 11
26 2.046 15 11
53 2.275 13 11
51 3.308 15 6
0 0.049 15 11
40 5.226 14 8
0 0.673 11 8
0 0.982 12 14
27 2.21 9 7
55 0.588 12 8
40 1.951 9 7
49 1.367 18 9
37 0.168 10 8
57 1.861 15 12
0 0.233 9 11
50 0.768 11 8
49 6.042 16 11
45 0.038 14 9
0 0.491 9 13
55 1.124 15 10
39 1.227 14 9
0 0.091 13 9
37 0.134 10 11
37 6.724 13 12
30 0.501 13 8
58 1.193 13 7
0 2.704 14 13
63 1.321 9 9
30 0.505 18 8
44 0.507 20 4
49 0.756 13 9
48 3.221 9 8
0 0.844 14 12
46 1.943 14 8
57 1.811 11 7
46 2.477 15 12
53 2.878 12 10
42 1.656 6 11
57 4.964 13 12
52 1.141 9 9
60 1.98 14 6
0 1.477 14 8
62 3.941 13 10
32 2.541 12 8
69 1.931 17 11
56 1.494 15 11
30 2.472 12 8
0 0.127 13 13
57 0.409 13 7
38 0.241 10 10
31 0.244 13 8
0 1.183 15 10
34 0.045 13 10
0 0.163 13 11
44 0.906 4 12
25 0.361 12 8
59 2.67 17 8
56 1.526 11 10
43 5.465 11 9
46 0.682 13 11
0 1.22 8 13
35 0.948 15 8
62 4.39 10 9
0 1.251 12 9
24 5.113 17 9
53 1.885 6 7
58 2.173 11 9
0 0.82 10 14
61 0.006 9 9
33 2.802 14 6
0 0.637 8 12
0 0.328 16 11
18 0.528 15 9
38 5.553 6 12
46 5.372 14 9
43 2.078 13 7
34 1.711 17 7
60 0.639 11 9
40 0.226 16 10
0 0.283 13 11
63 2.133 11 6
17 4.978 14 7
51 3.942 13 5
62 2.269 13 8
0 2.096 12 12
51 1.592 9 8
0 2.61 11 12
31 0.496 12 10
0 0.498 4 12
19 0.77 14 10
44 1.056 10 10
28 1.53 16 9
39 1.865 11 10
26 1.167 8 11
45 4.661 11 9
0 1.653 15 11
35 1.283 15 9
45 5.231 9 10
0 0.266 18 10
0 0.126 9 10
39 3.987 13 13
0 0.21 13 13
0 1.333 12 13
35 1.859 11 10
51 2.397 11 10
63 1.868 12 9
22 3.622 12 11
0 2.728 13 17
0 2.926 14 11
31 1.719 6 8
57 1.256 11 7
38 3.011 8 9
39 0.546 11 9
47 3.753 10 10
29 0.893 11 10
40 4.192 11 8
46 1.132 14 9
44 1.994 15 9
47 9.065 13 6
42 3.066 8 9
51 4.456 18 10
51 0.666 13 11
56 0.935 12 10
68 0.278 10 9
35 0.942 10 9
37 1.761 12 8
0 0.97 13 10
52 0.067 11 7
78 4.653 13 11
55 6.438 12 11
57 2.753 13 9
37 0.685 16 8
48 4.509 16 8
43 3.449 8 8
42 0.598 8 9
17 8.695 14 11
43 3.228 14 6
46 5.969 15 8
0 2.728 11 14
26 0.841 20 9
0 0.743 19 11
0 2.045 18 10
0 2.761 13 13
0 1.835 6 11
41 6.264 11 9
60 1.856 10 12
10 1.322 17 11
0 4.982 13 9
38 0.313 14 6
70 2.11 12 8
25 2.75 10 7
0 0.247 14 11
48 4.368 13 13
0 1.51 12 14
21 3.629 13 11
0 0.963 15 11
0 0.296 9 9
57 2.502 6 8
0 0.105 12 8
44 5.126 13 12
0 1.27 11 9
43 0.474 10 11
41 1.777 15 9
47 1.672 11 11
0 0.057 11 11
0 0.163 17 14
0 2.036 14 12
31 4.162 8 10
34 1.121 7 6
34 0.684 12 6
53 1.966 14 10
37 1.334 14 11
27 0.26 14 10
0 0.092 14 9
0 0.21 10 10
50 1.612 13 9
61 3.258 15 10
41 3.216 10 10
36 0.974 16 10
37 2.453 13 11
39 3.818 14 12
41 3.82 10 9
36 1.159 19 10
52 0.462 9 8
55 2.024 15 11
38 2.548 8 10
35 0.444 16 9
68 1.084 14 8
37 11.614 9 7
53 2.415 11 7
58 3.401 14 12
53 1.03 11 11
33 0.959 13 11
0 1.053 14 10
40 1.895 7 11
42 0.747 12 9
46 6.952 14 8
58 1.076 15 9
51 2.258 8 8
63 4.953 14 12
65 0.086 6 10
29 3.145 11 11
19 2.253 11 10
29 0.847 15 11
28 6.133 13 7
0 0.598 12 15
0 0.469 14 11
0 1.006 14 13
0 0.229 11 11
