drill carbon oxygen phosphorus nitrogen silicon
cave 107.3 22.9 21.2 10.2 2
cave 103.1 23.9 20.4 80.7 1.5
water 111.9 27.6 15.1 44.6 6.8
water 92 22.7 13.6 57.1 1.6
oil 91.8 25.8 2.4 2.9 1.6
water 101.7 35.7 10.8 13.8 1.6
cave 78.3 35.7 40 14.9 0.2
oil 82.4 32.4 8.8 29 2.2
cave 88.5 27.1 13.2 4.6 2.3
oil 89 20.7 4 21.5 2.9
cave 99.9 27.5 34.8 11.6 0.1
cave 82.6 33.2 18 14 2.8
nothing 99.9 29.2 6.1 25.2 5.4
cave 91.2 26.9 12.3 31.6 3.4
water 79.9 37.4 15.7 66 1.6
nothing 107.8 34.4 4 15.7 2.5
oil 88.2 30.1 3 33.1 0.5
water 87.8 25.9 14.9 59.7 1.3
water 89.5 39 9 7.7 2.5
nothing 90.2 26.4 41.4 29.7 0.9
oil 86.2 26.4 2.8 68.4 2.6
cave 109.9 43.9 3.2 48.5 3.7
water 97.1 26.7 3.6 24.8 2.7
cave 76.8 34.8 6.5 24 3.8
nothing 114 25.7 2.4 13.8 8.5
oil 79.5 25.7 31.5 44.7 2.3
cave 98.7 25.1 24.5 3.7 3.6
oil 85.8 19.7 17 16.1 0.6
oil 82.5 27.1 4.5 31.3 0
water 88.7 35.9 5.5 66.2 1.1
nothing 81.8 41.7 17.3 97.4 0.1
oil 77.9 32.7 6.8 1.6 0.1
oil 87.2 27.1 1.7 13.2 1.5
nothing 96.4 47.9 4.3 64.8 4
water 88.3 34.6 9.3 23.8 0.5
cave 107.3 53.9 10.3 12.9 2.3
oil 85.7 27 12.6 33.1 1.1
cave 78.1 27.2 18.3 10.4 1.4
oil 76.4 30.6 24.5 33 1
nothing 98.5 20.8 18.4 19.4 4.7
oil 80.4 28.9 6.3 32.9 3.2
nothing 81 20.4 7.1 78.8 5.6
oil 94.4 32.8 59.7 118.4 1.1
oil 99.3 36.5 1.5 59.6 0.7
water 107.1 47.1 19.4 42.5 1.3
cave 66.8 34.7 5.8 6 2.8
cave 88.3 50.3 23.8 13.4 0.7
nothing 83.4 43.8 15.9 41 2.6
cave 80.1 33.5 12.3 17.6 6.8
cave 90.3 21 18.7 10.7 2.1
cave 84.1 27.5 40 6.7 5
oil 82.3 21.3 7.9 13.2 0.6
water 93.9 30.4 10.7 25.2 3.4
nothing 94.8 34.1 6.4 32.7 5.4
cave 81.4 36.1 18.8 19.9 2.4
nothing 113.1 27.1 8.4 25.9 7
nothing 103.6 27.6 37.9 8.4 0.8
oil 122.7 31.1 17.6 20.2 4
nothing 84.1 51.6 29.1 12.6 2
water 105.3 30.2 2.6 30.1 2
water 91.7 35.6 10.4 8.7 2.4
cave 95.7 22.6 25.7 3.4 4.4
water 108.6 28.5 3.6 19.5 0.5
water 101.1 45.9 2.8 21.3 1.2
oil 67.3 19.9 4.7 34.6 0.1
oil 70.4 27.5 9.6 57.5 0.9
oil 73 30.7 50 22.5 3.1
oil 87.5 25.6 7.8 31.6 0.7
oil 90.5 21.5 11.3 17.9 0.4
cave 85.2 19.8 9.1 74.9 3.8
