Bankrupcies InterestRates PoliticalChange Confidence
8 47 76 52
69 13 25 38
32 104 25 32
16 79 21 31
60 24 42 83
11 62 23 42
6 32 81 11
60 20 70 128
32 10 85 84
93 25 7 24
50 28 73 86
43 104 23 35
61 21 7 19
49 26 72 42
8 85 5 34
19 92 26 50
49 10 41 101
1 27 62 46
49 4 65 86
80 26 40 55
13 45 52 31
55 5 43 93
11 30 78 47
7 86 10 49
9 37 73 31
35 2 25 86
15 79 16 48
40 35 42 75
0 44 54 33
8 34 103 53
15 21 87 53
72 23 16 22
51 21 48 89
28 5 92 51
21 105 12 33
41 11 50 65
31 89 19 50
22 5 67 50
42 57 60 40
76 7 17 14
78 3 58 94
65 28 9 22
15 36 67 26
113 25 14 4
47 3 37 100
88 27 12 16
48 37 62 91
57 20 58 79
27 50 61 32
21 13 76 35
12 71 31 37
10 28 104 56
45 11 62 91
68 6 19 100
71 6 44 74
13 93 29 40
96 16 0 14
80 27 2 27
66 7 66 97
4 45 83 52
7 43 84 32
81 15 2 32
36 32 54 81
59 0 45 81
100 13 7 28
14 71 86 64
78 31 9 25
20 38 94 46
53 33 73 86
67 12 40 63
16 84 26 26
21 61 92 1
2 82 23 31
4 66 18 50
46 6 41 86
18 33 94 27
30 77 17 40
6 75 10 31
24 85 41 38
91 10 13 13
80 27 60 82
7 11 85 66
12 77 71 39
71 2 52 70
41 3 73 95
94 27 5 29
113 9 46 12
71 17 42 86
96 35 3 12
71 14 41 88
65 13 5 24
62 2 16 22
31 25 84 69
20 44 2 32
19 83 17 59
86 19 8 16
48 24 34 68
56 64 25 19
98 5 2 21
5 18 74 25
11 95 3 40
8 43 88 36
19 78 35 44
2 45 82 65
4 61 13 4
7 31 95 71
6 33 71 52
89 17 22 4
76 7 56 105
59 12 75 77
18 77 24 34
21 103 9 41
7 61 24 45
12 93 12 35
78 2 27 84
29 66 64 48
3 73 32 31
50 20 53 85
54 14 31 84
118 23 21 45
52 18 10 14
22 97 0 42
55 6 70 97
3 88 18 22
61 34 21 24
3 52 85 41
39 19 43 75
55 27 4 39
26 52 82 39
27 94 55 40
26 63 19 20
79 19 6 3
14 57 30 19
95 24 6 37
32 34 50 58
78 1 66 57
14 24 60 31
6 54 22 37
32 93 35 50
71 1 22 7
12 45 73 49
29 12 101 36
14 44 36 27
63 4 49 76
78 7 15 17
6 91 32 67
19 32 84 36
67 6 54 85
66 11 39 86
40 79 29 54
